flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 16A,Chinese,#04:1; #05:1; #07:1; #08:1; #09:1; #11:1; #13:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #24:1,"$80,900 - $357,400",Important notes
2-room Flexi,Blk 16B,Chinese,#02:1; #04:1; #07:1; #09:1; #10:1; #12:1; #15:1; #16:1; #18:1,"$80,900 - $357,400",Important notes
2-room Flexi,Blk 16A,Indian/ Other Races,#04:1; #05:1; #07:1; #08:1; #09:1; #11:1; #13:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #24:1,"$80,900 - $357,400",Important notes
2-room Flexi,Blk 16B,Indian/ Other Races,#02:1; #04:1; #07:1; #09:1; #10:1; #12:1; #15:1; #16:1; #18:1,"$80,900 - $357,400",Important notes
2-room Flexi,Blk 16A,Malay,#04:1; #05:1; #07:1; #08:1; #09:1; #11:1; #13:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #24:1,"$80,900 - $357,400",Important notes
2-room Flexi,Blk 16B,Malay,#02:1; #04:1; #07:1; #09:1; #10:1; #12:1; #15:1; #16:1; #18:1,"$80,900 - $357,400",Important notes
3-room,Blk 16A,Chinese,#15:1,"$462,700 - $532,900",Important notes
3-room,Blk 16B,Chinese,#05:1; #10:1; #15:1; #17:1,"$462,700 - $532,900",Important notes
3-room,Blk 16D,Chinese,#06:1; #07:1; #08:1; #14:1; #18:1,"$462,700 - $532,900",Important notes
3-room,Blk 18C,Chinese,#02:1; #05:1; #14:1; #23:1,"$462,700 - $532,900",Important notes
3-room,Blk 16A,Indian/ Other Races,#15:1,"$462,700 - $532,900",Important notes
3-room,Blk 16B,Indian/ Other Races,#05:1; #10:1; #15:1; #17:1,"$462,700 - $532,900",Important notes
3-room,Blk 16D,Indian/ Other Races,#06:1; #07:1; #08:1; #14:1; #18:1,"$462,700 - $532,900",Important notes
3-room,Blk 18C,Indian/ Other Races,#02:1; #05:1; #14:1; #23:1,"$462,700 - $532,900",Important notes
3-room,Blk 16A,Malay,#15:1,"$462,700 - $532,900",Important notes
3-room,Blk 16B,Malay,#05:1; #10:1; #15:1; #17:1,"$462,700 - $532,900",Important notes
3-room,Blk 16D,Malay,#06:1; #07:1; #08:1; #14:1; #18:1,"$462,700 - $532,900",Important notes
3-room,Blk 18C,Malay,#02:1; #05:1; #14:1; #23:1,"$462,700 - $532,900",Important notes
4-room,Blk 16A,Chinese,#02:1; #03:1; #04:1; #07:1; #08:1; #09:1; #10:1; #11:1; #14:1; #17:1; #23:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 16B,Chinese,#05:1; #11:1; #12:1; #19:1; #21:1; #22:1; #23:1,"$620,900 - $760,500",Important notes
4-room,Blk 16C,Chinese,#02:1; #03:1; #05:1; #06:1; #08:1; #11:1; #16:1; #19:1; #20:1,"$620,900 - $760,500",Important notes
4-room,Blk 16D,Chinese,#02:1; #03:1; #05:1; #10:1; #12:1; #13:1; #16:1; #17:1; #18:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 18A,Chinese,#02:1; #03:1; #06:1; #07:1; #08:1; #10:1; #15:1; #16:1; #17:1; #19:1; #23:1,"$620,900 - $760,500",Important notes
4-room,Blk 18B,Chinese,#02:1; #03:1; #04:1; #06:1; #07:1; #11:1; #16:1; #19:1,"$620,900 - $760,500",Important notes
4-room,Blk 18C,Chinese,#02:1; #03:1; #04:1; #05:1; #08:1; #10:1; #11:1; #16:1; #18:1; #23:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 16A,Indian/ Other Races,#02:1; #03:1; #04:1; #07:1; #08:1; #09:1; #10:1; #11:1; #14:1; #17:1; #23:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 16B,Indian/ Other Races,#05:1; #11:1; #12:1; #19:1; #21:1; #22:1; #23:1,"$620,900 - $760,500",Important notes
4-room,Blk 16C,Indian/ Other Races,#02:1; #03:1; #05:1; #06:1; #08:1; #11:1; #16:1; #19:1; #20:1,"$620,900 - $760,500",Important notes
4-room,Blk 16D,Indian/ Other Races,#02:1; #03:1; #05:1; #10:1; #12:1; #13:1; #16:1; #17:1; #18:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 18A,Indian/ Other Races,#02:1; #03:1; #06:1; #07:1; #08:1; #10:1; #15:1; #16:1; #17:1; #19:1; #23:1,"$620,900 - $760,500",Important notes
4-room,Blk 18B,Indian/ Other Races,#02:1; #03:1; #04:1; #06:1; #07:1; #11:1; #16:1; #19:1,"$620,900 - $760,500",Important notes
4-room,Blk 18C,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #08:1; #10:1; #11:1; #16:1; #18:1; #23:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 16A,Malay,#02:1; #03:1; #04:1; #07:1; #08:1; #09:1; #10:1; #11:1; #14:1; #17:1; #23:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 16B,Malay,#05:1; #11:1; #12:1; #19:1; #21:1; #22:1; #23:1,"$620,900 - $760,500",Important notes
4-room,Blk 16C,Malay,#02:1; #03:1; #05:1; #06:1; #08:1; #11:1; #16:1; #19:1; #20:1,"$620,900 - $760,500",Important notes
4-room,Blk 16D,Malay,#02:1; #03:1; #05:1; #10:1; #12:1; #13:1; #16:1; #17:1; #18:1; #24:1,"$620,900 - $760,500",Important notes
4-room,Blk 18A,Malay,#02:1; #03:1; #06:1; #07:1; #08:1; #10:1; #15:1; #16:1; #17:1; #19:1; #23:1,"$620,900 - $760,500",Important notes
4-room,Blk 18B,Malay,#02:1; #03:1; #04:1; #06:1; #07:1; #11:1; #16:1; #19:1,"$620,900 - $760,500",Important notes
4-room,Blk 18C,Malay,#02:1; #03:1; #04:1; #05:1; #08:1; #10:1; #11:1; #16:1; #18:1; #23:1; #24:1,"$620,900 - $760,500",Important notes
