flat_type,block,ethnicity,floor_data,price_range,project
4-room,Blk 131A,Chinese,#24:1; #25:1; #27:1; #31:1,"$635,300 - $697,700",Important notes
4-room,Blk 131B,Chinese,#22:1,"$635,300 - $697,700",Important notes
4-room,Blk 132A,Chinese,#11:1,"$635,300 - $697,700",Important notes
4-room,Blk 132B,Chinese,#19:1; #25:1; #27:1,"$635,300 - $697,700",Important notes
4-room,Blk 131A,Indian/ Other Races,#24:1; #25:1; #27:1; #31:1,"$635,300 - $697,700",Important notes
4-room,Blk 131B,Indian/ Other Races,#22:1,"$635,300 - $697,700",Important notes
4-room,Blk 132A,Indian/ Other Races,#11:1,"$635,300 - $697,700",Important notes
4-room,Blk 132B,Indian/ Other Races,#19:1; #25:1; #27:1,"$635,300 - $697,700",Important notes
4-room,Blk 131A,Malay,#24:1; #25:1; #27:1; #31:1,"$635,300 - $697,700",Important notes
4-room,Blk 131B,Malay,#22:1,"$635,300 - $697,700",Important notes
4-room,Blk 132A,Malay,#11:1,"$635,300 - $697,700",Important notes
4-room,Blk 132B,Malay,#19:1; #25:1; #27:1,"$635,300 - $697,700",Important notes
