Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,3Gen,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Teck Ghee Vista,15 - 45 years,Keys available,1.0,,,,,1.36402757273373,103.847478724527,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04zUkMxMF8xNzY5NDc3NDAwMDYy
Yio Chu Kang Vista,15 - 45 years,Keys available,1.0,,,,,1.37769118043958,103.84274515222,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX042QzI4XzE3Njk0Nzc0MDAwNTY
Teck Ghee Evergreen,15 - 51 years,Keys available,1.0,,,,,1.36622707120636,103.850085858983,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04zQzNfMTc2ODQ2OTQwMDA5Mg
Cheng San Court,15 - 45 years,Keys available,2.0,,,,,1.37093324079314,103.851940766136,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX041QzI2XzE3Njk0Nzc0MDAwNTg
Ang Mo Kio Ave 10,54 years,Keys available,,1.0,,,,1.36677040270637,103.856589829581,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX041QzJfMTc2ODQ2OTQwMDA4Ng
Ang Mo Kio 61,54 years,Keys available,,1.0,,,,1.37776263842074,103.843782193293,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX042QzdfMTc2ODQ2OTQwMDEzMA
Cheng San Crest,54 years,Keys available,,1.0,,,,1.37598486077444,103.848860479053,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX041QzIyXzE3Njg0Njk0MDAwOTE
Ang Mo Kio Grove,50 years,Keys available,,1.0,,,,1.36511908595886,103.841742478489,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04yQzJfMTc2ODQ2OTQwMDA4NA
Yio Chu Kang Beacon,15 - 99 years,Keys available,1.0,1.0,,,,1.38277531447649,103.842280765072,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX042QzM0XzE3Njg0Njk0MDAxMTY
Pine Ville @ AMK,99 years,3Q/2027,,1.0,,2.0,,1.37718481337389,103.853961804203,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX044QzM4QV8xNzY4NTQ1MDAwMDQ0
Kebun Baru Edge,99 years,Keys available,,,,3.0,1.0,1.36762651708062,103.833861303205,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX04yQzMyQV8xNzY4NDY5NDAwMTIx
Central Weave @ AMK,15 - 99 years,2Q/2028,2.0,,2.0,1.0,,1.37410907646004,103.847102491125,Ang Mo Kio,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QU1LX043QzMwXzE3Njg0Njk0MDAwMjQ
