Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Golden Cassia,15 - 45 years,Keys available,1.0,,,,1.33182858762708,103.91189196562,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjZDMTdfMTc2OTQxOTgwMDEyNA
Golden Oaks,15 - 45 years,Keys available,3.0,,,,1.33369345595931,103.930396926009,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTdfMTc2OTQxOTgwMDAwMw
Fengshan Greenville,15 - 45 years,Keys available,2.0,,,,1.32991427421905,103.940310513079,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMjBfMTc2OTQxOTgwMDA2Ng
Ping-an Gardens,46 years,Keys available,,1.0,,,1.32797877350561,103.925804792632,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDMV8xNzY4NDY5NDAwMTMz
New Upp Changi Rd (1),51 years,Keys available,,1.0,,,1.32478236985627,103.930570304559,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjNDN18xNzY4NDY5NDAwMDkz
Ping Yi Gardens,54 years,Keys available,,1.0,,,1.32797877350561,103.925804792632,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDNl8xNzY4NDY5NDAwMDE1
Ansar Garden,47 years,Keys available,,1.0,,,1.32331161222379,103.923620464562,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDM18xNzY4NDY5NDAwMTEy
Bedok South Parkview,51 years,Keys available,,,1.0,,1.32205652925918,103.93835472666,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDNV8xNzY4NDY5NDAwMTMy
Eunos Grove,56 years,Keys available,,1.0,,,1.33295923556348,103.914941831232,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjZDNF8xNzY4NDY5NDAwMTI1
Bedok Nth St 3,53 years,Keys available,,1.0,,,1.33341229145616,103.928016834812,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTFfMTc2ODQ2OTQwMDExMQ
Bedok North Vale,15 - 95 years,Keys available,1.0,,,,1.32993251453158,103.925724942913,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTlfMTc2ODQ2OTQwMDA3OA
Bedok Nth St 2 (1),52 years,Keys available,,1.0,,,1.32894307188373,103.937140564506,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDNV8xNzY4NDY5NDAwMDk0
Bedok Nth St 2 (2),52 years,Keys available,,1.0,,,1.32894307188373,103.937140564506,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDNF8xNzY4NDY5NDAwMTE5
Bedok Nth Rd,51 - 60 years,Keys available,,4.0,,,1.33060762647616,103.930375074275,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMTRfMTc2ODQ2OTQwMDA3Nw
Bedok South Horizon,15 - 96 years,Keys available,2.0,,,,1.31767817684758,103.947397456277,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMTFfMTc2ODQ2OTQwMDEwMg
Bedok North Green,54 - 59 years,Keys available,,2.0,,,1.33033113628205,103.925432072872,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMTQtQzE1XzE3Njg0Njk0MDAwNzY
Eunos Spring,62 years,Keys available,,1.0,,,1.33197886752323,103.910623668728,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjZDNV8xNzY4NDY5NDAwMTMx
Fengshan Estate,51 years,Keys available,,1.0,,,1.33247206352435,103.934860475522,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMTFfMTc2ODQ2OTQwMDEyNg
Fengshan Precinct,52 years,Keys available,,1.0,,,,,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMl8xNzY4NDY5NDAwMTM0
Garden Hill,52 years,Keys available,,1.0,,,1.32856421177174,103.930036524233,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjRDNV8xNzY4NDY5NDAwMTIw
New Upp Changi Rd (2),52 years,Keys available,,,1.0,,1.32478236985627,103.930570304559,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDOV8xNzY4NDY5NDAwMTIy
Bedok Beacon,15 - 96 years,Keys available,2.0,,,,1.32500460459969,103.92777031436,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjRDOF8xNzY4NDY5NDAwMTAw
New Upp Changi Rd (3),52 years,Keys available,,1.0,,,1.32478236985627,103.930570304559,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjNDOF8xNzY4NDY5NDAwMDQ2
Bedok Sth Ave 2,52 years,Keys available,,,,1.0,1.32238689442477,103.937406737315,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMl8xNzY4NDY5NDAwMTU5
Ping Yi Greens,90 years,Keys available,,,1.0,,1.32789302968468,103.923874941007,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDMjBfMTc2ODQ2OTQwMDEyNQ
Kembangan Wave - Plus,15 - 99 years,4Q/2028,4.0,,2.0,,1.32268355501331,103.913022311205,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjlDM18xNzY4NTQ1MDAwMDE4
Pearl Garden,51 years,Keys available,,,,1.0,1.33372280929,103.936517719048,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjFDMTBfMTc2ODQ2OTQwMDExMg
Bedok North Woods,95 years,Keys available,,,1.0,,1.32970000498861,103.932990995274,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjRDOV8xNzY4NDY5NDAwMDk0
Bedok South Bloom,15 - 99 years,1Q/2028,8.0,,4.0,,1.32430117973484,103.938654033654,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMTJfMTc2ODQ2OTQwMDEwOQ
Bayshore Vista - Plus,15 - 99 years,2Q/2029,3.0,1.0,6.0,,1.31275165877252,103.946555613266,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjEwQzFBXzE3Njg0Njk0MDAxMDY
Bayshore Palms - Plus,15 - 99 years,2Q/2029,1.0,,4.0,,1.3148810353723,103.945464033689,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjEwQzJfMTc2ODQ2OTQwMDExOA
Bedok North Springs,15 - 99 years,4Q/2027,5.0,,5.0,2.0,1.33481851223975,103.932712092763,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjVDMThfMTc2ODQ2OTQwMDA5Nw
Chai Chee Green,15 - 99 years,4Q/2027 to 1Q/2028,,1.0,11.0,4.0,1.32943726660868,103.919254047197,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjhDMTRBLUMxNEJfMTc2ODQ2OTQwMDE0Mw
Bedok South Blossoms,99 years,3Q/2027,,1.0,6.0,6.0,1.32208339971419,103.943408749166,Bedok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkRfTjJDMTNfMTc2ODQ2OTQwMDA4Nw
