Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,3Gen,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Harmony Village @ Bukit Batok,15 - 35 years,Keys available,,,,,,1.35523395393666,103.741758756565,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMjZfMTc2ODU0NTAwMDAyNA
Golden Daisy,15 - 45 years,Keys available,2.0,,,,,1.34755153967044,103.755783055819,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDMjFfMTc2OTQxNjIwMDAxMQ
West Ridges @ Bukit Batok,15 - 93 years,Keys available,1.0,,,,,1.35557897178099,103.737833820151,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDOF8xNzY4NTMwNjAwMDA2
West Plains @ Bukit Batok,15 - 95 years,Keys available,1.0,,,,,1.35737021414307,103.741749681703,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMThfMTc2ODUzMDYwMDAxNg
Gombak Gardens,59 years,Keys available,,1.0,,,,1.35048816023777,103.754177773165,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDOF8xNzY4NTMwNjAwMDI3
Guilin Breeze,60 years,Keys available,,1.0,,,,1.35398085110663,103.752778228297,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjVDNV8xNzY4NTMwNjAwMDQw
Bt Batok St 31,60 years,Keys available,,,,1.0,,1.35812468915356,103.749065147205,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjNDNl8xNzY4NTMwNjAwMDI5
West Edge @ Bukit Batok,94 years,Keys available,,1.0,,,,1.35775731757846,103.739408616622,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDNV8xNzY4NTMwNjAwMDAz
Hillgrove Gardens,60 - 62 years,Keys available,,1.0,,1.0,,1.35275159558485,103.754823604086,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjVDMS1DMl8xNzY4NTMwNjAwMDQz
Bt Batok East Ave 4,59 years,Keys available,,,,2.0,,1.34942986391621,103.758419620752,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDMTJBXzE3Njg1MzA2MDAwMDU
Bt Batok West Ave 4,61 years,Keys available,,,,1.0,,1.36275033035859,103.74698577137,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDM18xNzY4NTMwNjAwMDM0
Bt Batok St 11,58 years,Keys available,,1.0,,1.0,,1.34898932894479,103.743470324013,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjFDOV8xNzY4NTMwNjAwMDA2
Goodview Gardens,79 years,Keys available,,,,1.0,,1.36534587041751,103.752142144334,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjNDMTJfMTc2ODUzMDYwMDAyMg
Bt Batok St 21,59 years,Keys available,,1.0,,1.0,,1.34652224188347,103.75335881118,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDM18xNzY4NTMwNjAwMDQ0
Bukit Gombak Vista,15 - 93 years,Keys available,3.0,1.0,,,,1.35942058239166,103.750290022372,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjNDMTNfMTc2ODUzMDYwMDAzNQ
West Quarry @ Bukit Batok,94 years,Keys available,,,,1.0,,1.35426046045608,103.739309747692,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMTJfMTc2ODUzMDYwMDAxMQ
West Scape @ Bukit Batok,96 years,Keys available,,,,1.0,,1.36189800657806,103.742374936478,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMjJfMTc2ODUzMDYwMDAxNw
West Terra @ Bukit Batok,93 years,Keys available,,,,2.0,,1.35248381356888,103.743414725495,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMTZfMTc2ODUzMDYwMDAzMw
West Hill @ Bukit Batok,15 - 99 years,3Q/2026,1.0,1.0,,5.0,2.0,1.35918980820173,103.743954320972,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMjRfMTc2ODUzMDYwMDAxNA
West Glades @ Bukit Batok,15 - 99 years,1Q/2028,2.0,1.0,,1.0,1.0,1.35745172420603,103.745899498774,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMjhfMTc2ODUzMDYwMDAzMQ
West Brickville @ Bukit Batok - Standard,15 - 99 years,3Q/2027,2.0,6.0,18.0,3.0,,1.35393914173101,103.737358494456,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMjdfMTc2ODU0NTAwMDAyNw
