Project Name,Remaining Lease,Probable Completion,2-room Flexi,4-room,Latitude,Longitude,Town,Mode of Sale,URL
Golden Mint,15 - 45 years,Keys available,2.0,,1.3795088992027,103.886990225093,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjVDMjNfMTc2OTQ3NzQwMDEzNw
Hougang Dewcourt,15 - 45 years,Keys available,2.0,,1.36376463939134,103.894113954924,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDMTJfMTc2OTQ3NzQwMDEzNA
Hougang Meadow,15 - 45 years,Keys available,1.0,,1.36928451336933,103.89713459868,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDMTRfMTc2OTQ3NzQwMDA1Mw
Buangkok Woods,15 - 94 years,Keys available,1.0,,1.38545472814646,103.882985586929,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjlDMjFfMTc2ODUzNDIwMDAzNQ
Hougang View,49 years,Keys available,,1.0,1.36486666416769,103.890727960772,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDM0FfMTc2ODUzNDIwMDAzMw
Kovan Wellspring,15 - 99 years,2Q/2026,5.0,,1.35986243061502,103.88691254885,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjJDMTFfMTc2ODUzNDIwMDAyMg
Hougang Ave 1,55 years,Keys available,,1.0,1.35664284566921,103.889828868222,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMl8xNzY4NTM0MjAwMDMx
Hougang Ave 7,60 years,Keys available,,1.0,1.36723963461641,103.899190031581,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDOF8xNzY4NTM0MjAwMDIz
Hougang St 91,73 years,Keys available,,1.0,1.37708638977268,103.882310053371,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjlDOV8xNzY4NTM0MjAwMDM3
Buangkok Vale,89 years,Keys available,,1.0,1.38029686296144,103.877266407149,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjlDMTJfMTc2ODUzNDIwMDAzNg
Hougang Citrine,15 - 99 years,Keys available,9.0,4.0,1.34692292491163,103.889769301822,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMTVfMTc2ODUzNDIwMDAyNg
Hougang Olive,99 years,Keys available,,2.0,1.34877373513529,103.888360379207,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMTRfMTc2ODUzNDIwMDAzMQ
Tanjong Tree Residences @ Hougang,15 - 99 years,2Q/2026 to 1Q/2028,6.0,3.0,1.34705131810249,103.886605963448,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMTMtQzEzQV8xNzY4NTM0MjAwMDMy
