Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Executive,Latitude,Longitude,Town,Mode of Sale,URL
Golden Willows,15 - 45 years,Keys available,3.0,,,,,1.3476235248659,103.731009078651,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjNDMTJfMTc2OTQyMzQwMDAyMA
Jurong East Ave 1,59 years,Keys available,,,1.0,,,1.34394361727901,103.734931027328,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjNDOV8xNzY4NTQ4NjAwMDQy
Jurong East 32,58 years,Keys available,,,1.0,,,1.3468080909852,103.732570156371,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjNDNF8xNzY4NTQ4NjAwMDI4
Teban Vista,87 years,Keys available,,2.0,,,,1.32378355041705,103.7385183842,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjRSQzFfMTc2ODU0ODYwMDA1MA
Pandan Gdns,53 years,Keys available,,,,1.0,,1.32028282017937,103.747957406231,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjRDM0FfMTc2ODU0ODYwMDAwNQ
Jurong East Breeze,15 - 99 years,2Q/2028,2.0,,4.0,,,1.34336658850832,103.744035256221,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjJDMjRfMTc2ODU0ODYwMDA0OA
Toh Guan Grove,15 - 99 years,03/2026,6.0,,2.0,,,1.34069910047023,103.745393879835,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjJDMjZfMTc2ODU0ODYwMDAzMQ
Jurong East St 21,56 years,Keys available,,,,1.0,,1.33733111375087,103.743381794901,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjJDNF8xNzY4NTQ4NjAwMDI5
Golden Peony,15 - 45 years,Keys available,2.0,,,,,1.34793619788802,103.715691141274,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjVDMTVfMTc2OTQyMzQwMDAwNQ
Golden Lavender,15 - 45 years,Keys available,3.0,,,,,1.34258916103914,103.696931234275,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjdDMTVfMTc2OTQyMzQwMDAyOA
Corporation Tiara,15 - 45 years,Keys available,5.0,,,,,1.33195222315743,103.721513951179,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjFDMzBfMTc2OTQyMzQwMDAxOQ
Golden Orchid,15 - 45 years,Keys available,3.0,,,,,1.34863856808836,103.725086725184,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjRDMjFfMTc2ODU0ODYwMDA0NA
Corporation Court,45 years,Keys available,,1.0,,,,1.33370918201948,103.724041338718,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjFDOV8xNzY4NTQ4NjAwMDIz
