Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Waterway Brooks,15 - 45 years,Keys available,4.0,,,,1.40528964160836,103.909204123728,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDNDBfMTc2OTQxMjYwMDAyNg
Punggol Ripples,15 - 45 years,Keys available,2.0,,,,1.40116989540271,103.899920878173,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzJDMTRfMTc2OTQxMjYwMDA0Mg
Waterfront I @ Northshore,95 years,Keys available,,1.0,,,1.4166307861995,103.89948833933,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMV8xNzY4NTMwNjAwMDMz
Punggol Edge,91 years,Keys available,,1.0,,,1.3948377810528,103.907584681234,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzFDNDRfMTc2ODUzMDYwMDAyNA
Punggol Lodge,86 years,Keys available,,,1.0,,1.40314294041732,103.908316260563,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDMTlfMTc2ODUzMDYwMDAyNQ
Waterway Sunrise I & II,15 - 96 years,Keys available,2.0,,1.0,,1.3982037356517,103.92180228981,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDNDgtQzQ5XzE3Njg1NDUwMDAwMjY
Waterway Banks,89 years,Keys available,,,1.0,,1.40605924173081,103.912020670376,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDNDFfMTc2ODUzMDYwMDAwNw
Waterway Ridges,90 years,Keys available,,,1.0,,1.40453606912894,103.914012816111,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDMzlfMTc2ODUzMDYwMDAzMg
Punggol Breeze,87 years,Keys available,,,1.0,,1.40161428921505,103.912807967947,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDMzNfMTc2ODUzMDYwMDAzMA
Punggol Point Cove,15 - 99 years,Keys available,10.0,1.0,2.0,,1.41963540218258,103.912822442981,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMTQtQzE1XzE3Njg1MzA2MDAwMDk
Matilda Riverside,15 - 99 years,4Q/2027,6.0,2.0,8.0,8.0,1.40245085751093,103.889432363795,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzJDNDFfMTc2ODUzMDYwMDAzNw
Punggol Point Woods,15 - 98 years,Keys available,4.0,,,1.0,1.41667304873336,103.910627028411,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMTNfMTc2ODUzMDYwMDAyOA
Punggol Point Crown,15 - 98 years,Keys available,3.0,,2.0,2.0,1.42000672442461,103.911262666217,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMTFfMTc2ODUzMDYwMDA0MQ
