Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Golden Carnation,15 - 45 years,Keys available,1.0,,,,1.34523592464479,103.946197624506,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04xQzEzXzE3Njk0MTYyMDAwMzE
Tampines Greenwood,15 - 45 years,Keys available,1.0,,,,1.35592432083149,103.932912367489,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzI2XzE3Njk0MTYyMDAwNDg
Golden Pines,15 - 45 years,Keys available,2.0,,,,1.34981132942629,103.932607934056,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzRDXzE3Njk0MTYyMDAwNDU
Tampines Alcoves,15 - 45 years,Keys available,1.0,,,,1.36421531545345,103.953511202271,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzI3XzE3Njk0MTYyMDAwNDg
Tampines Greengem,15 - 98 years,Keys available,2.0,,,,1.34218392786105,103.93682618882,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzE4XzE3Njg1MjcwMDAwOTE
Tampines St 21 (1),58 years,Keys available,,1.0,,,1.35161772799397,103.949136014012,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzNfMTc2ODUyNzAwMDA3NQ
Tampines St 22 (1),58 years,Keys available,,1.0,,,1.34903757727999,103.951094648326,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzVfMTc2ODUyNzAwMDA3NQ
Tampines St 22 (2),58 years,Keys available,,1.0,,,1.34903757727999,103.951094648326,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzdfMTc2ODUyNzAwMDEwNg
Tampines St 42,59 years,Keys available,,1.0,,,1.35860079427775,103.952855021845,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzdfMTc2ODUyNzAwMDAwMw
Tampines St 21 (2),58 years,Keys available,,1.0,,,1.35161772799397,103.949136014012,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzEwXzE3Njg1MjcwMDAwOTc
