Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Plantation Village,15 - 97 years,Keys available,4.0,,,,1.35793237600526,103.73387780517,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDMV8xNzY4ODA3ODAwMDM5
Garden Vines @ Tengah,98 years,Keys available,,1.0,,,1.36061578677807,103.732199052701,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDMV8xNzY4ODA3ODAwMDE4
Garden Vale @ Tengah,15 - 98 years,Keys available,1.0,,1.0,,1.36041333311956,103.733366084597,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDMl8xNzY4ODA3ODAwMDIw
Garden Court @ Tengah,99 years,Keys available,,,2.0,,1.3578842980004,103.729449381202,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDNV8xNzY4ODA3ODAwMDQ3
Parc Woods @ Tengah,15 - 99 years,Keys available,5.0,1.0,4.0,,1.36220155032368,103.734278027239,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDNl8xNzY4ODA3ODAwMDY0
Brickland Weave,15 - 99 years,4Q/2027,3.0,2.0,3.0,4.0,1.370586796237,103.745024024253,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDVDMl8xNzY4ODA3ODAwMDQ1
Plantation Grove,15 - 98 years,Keys available,5.0,2.0,1.0,1.0,1.35836009636405,103.736836578343,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDMl8xNzY4ODA3ODAwMDMw
Plantation Creek,99 years,2Q/2026,,,6.0,2.0,1.35384485427988,103.729851641852,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDNl8xNzY4ODA3ODAwMDgz
Parc Clover @ Tengah,15 - 99 years,Keys available,4.0,,1.0,2.0,1.36068443168876,103.735582864096,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDN18xNzY4ODA3ODAwMDAz
Plantation Edge I & II,15 - 99 years,2Q/2027 to 4Q/2027,1.0,,3.0,1.0,1.35324637444701,103.735968354011,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDNUEtQzVCXzE3Njg4MDc4MDAwNTA
Garden Bloom @ Tengah,99 years,Keys available,,,1.0,1.0,1.36055307199671,103.728441416772,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDNF8xNzY4ODA3ODAwMDA1
Plantation Acres,15 - 97 years,Keys available,1.0,,,2.0,1.35447254345357,103.734156856636,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDNF8xNzY4ODA3ODAwMDQz
Parc Glen @ Tengah,15 - 99 years,Keys available,1.0,,6.0,2.0,1.36299866703433,103.73773555621,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDMl8xNzY4ODA3ODAwMDUy
Garden Terrace @ Tengah,99 years,Keys available,,1.0,1.0,1.0,1.3576156593332,103.730112972709,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDNl8xNzY4ODA3ODAwMDMx
Plantation Verge,15 - 99 years,3Q/2027,1.0,,3.0,3.0,1.35033776500774,103.734616669723,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDOF8xNzY4ODA3ODAwMDY1
Parc Flora @ Tengah,99 years,Keys available,,,,1.0,1.36343471974517,103.733392471161,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDNV8xNzY4ODA3ODAwMDc5
Parc Residences @ Tengah,15 - 99 years,Keys available,4.0,1.0,3.0,1.0,1.35941522167952,103.73788984525,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDOF8xNzY4ODA3ODAwMDIx
Garden Waterfront I & II @ Tengah,15 - 99 years,2Q/2026 to 4Q/2026,3.0,1.0,4.0,6.0,1.35807521197594,103.727062023583,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDMy1DN18xNzY4ODA3ODAwMDQy
Parc Meadow @ Tengah,15 - 99 years,1Q/2027 to 2Q/2027,5.0,2.0,7.0,4.0,1.36558589197351,103.736602999137,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDMV8xNzY4ODA3ODAwMDM0
