Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Executive,Latitude,Longitude,Town,Mode of Sale,URL
Golden Lotus,15 - 45 years,Keys available,5.0,,,,,1.335835775451,103.850826873624,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjJSQzMyXzE3Njk0MjM0MDAwMTQ
Joo Seng Green,42 years,Keys available,,1.0,,,,1.33490017856933,103.879334262884,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjhDMV8xNzY4ODA3ODAwMDY2
Golden Clover,15 - 45 years,Keys available,4.0,,,,,1.33130492413517,103.859019241044,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjZDMjRfMTc2OTQyMzQwMDAxMw
Kim Keat View,47 years,Keys available,,1.0,,,,1.33093933675526,103.858181909317,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjZDMTBfMTc2ODgwNzgwMDA1NA
Kim Keat Court,43 years,Keys available,,2.0,,,,1.33943033543358,103.853442790992,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjFDMV8xNzY4ODA3ODAwMDUx
Toa Payoh Spring,47 years,Keys available,,,1.0,,,1.33889442783825,103.849538318068,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjVDMTdfMTc2ODgwNzgwMDAyOA
Alkaff Oasis,15 - 95 years,Keys available,1.0,,,,,1.33348416178983,103.873147176611,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDNl8xNzY4ODA3ODAwMDQ3
Woodleigh Glen,15 - 96 years,Keys available,2.0,,,,,1.34181781631173,103.872577803102,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDOF8xNzY4ODA3ODAwMDE0
Alkaff Courtview,15 - 95 years,Keys available,4.0,,,,,1.33622045424375,103.871847066518,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMV8xNzY4ODA3ODAwMDY3
Potong Pasir Ave 3,58 years,Keys available,,1.0,,,,1.33356150384045,103.865191495111,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjdDMl8xNzY4ODA3ODAwMDgz
Joo Seng Heights,58 years,Keys available,,,1.0,,,1.33550132176622,103.880231498548,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjhDNV8xNzY4ODA3ODAwMDU0
Kim Keat Heights,99 years,3Q/2027,,1.0,,,,1.33824131914844,103.854635109247,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjFDMjdfMTc2ODgwNzgwMDA4MA
Lor 8 Toa Payoh,49 years,Keys available,,,,1.0,,1.34021600857625,103.85487256444,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjVDMl8xNzY4ODA3ODAwMDY4
Toa Payoh Crest,15 - 92 years,Keys available,1.0,1.0,,,,1.33737735210716,103.842656049195,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjRDMjhfMTc2ODgwNzgwMDAzMw
Kim Keat Ripples,15 - 99 years,Keys available,3.0,,4.0,,,1.33275469684362,103.858642523657,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjZDMjZBXzE3Njg4MDc4MDAwMjM
Parkedge @ Bidadari,99 years,Keys available,,,5.0,,,1.34059253032507,103.875840188244,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMTVfMTc2ODgwNzgwMDA4OQ
Alkaff Breeze,99 years,Keys available,,,1.0,,,1.3362660833814,103.874639428116,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMThfMTc2ODgwNzgwMDA1NQ
Bartley Greenrise,99 years,Keys available,,2.0,2.0,,,1.34304143501032,103.877363026119,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMTNfMTc2ODgwNzgwMDA1MQ
Woodleigh Hillside,97 years,Keys available,,1.0,1.0,,,1.34279948643004,103.875178060687,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMTBfMTc2ODgwNzgwMDA2OQ
Bartley Beacon,99 years,Keys available,,1.0,7.0,,,1.34088960796369,103.879139775745,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMTRBXzE3Njg4MDc4MDAwNjE
