Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL
Floral Spring @ Yishun,15 - 45 years,Keys available,1.0,,,,1.42308082717826,103.846419380158,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDNF8xNzY5NDEyNjAwMDU4
Golden Palms,15 - 45 years,Keys available,1.0,,,,1.42983378150608,103.827384256677,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjdDMThfMTc2OTQxMjYwMDAyOA
Yishun Riverwalk,15 - 45 years,Keys available,2.0,,,,1.43253702015663,103.845643034703,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjNDMjFfMTc2OTQxMjYwMDA0Mw
Orchid Spring @ Yishun,15 - 89 years,Keys available,2.0,,,,1.42209731725453,103.849560369299,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDM18xNzY4ODc5ODAwMDkx
Meadow Spring @ Yishun,15 - 93 years,Keys available,1.0,,,,1.42532389372284,103.851843638346,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDMTlfMTc2ODg3OTgwMDE0Ng
Chong Pang Green,57 years,Keys available,,1.0,,,1.42893488907136,103.827716191445,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjdDMV8xNzY4ODc5ODAwMTQ0
Yishun Beacon,15 - 99 years,2Q/2026,2.0,,,,1.42429399247954,103.835696050981,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjlDM18xNzY4ODc5ODAwMDUz
Yishun St 11,59 years,Keys available,,2.0,,,1.43217892492412,103.832680760359,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjFDOV8xNzY4ODc5ODAwMDg5
Yishun Gardens,59 years,Keys available,,1.0,,,1.43362974235566,103.835781244785,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjJDNF8xNzY4ODc5ODAwMTQ3
Dew Spring @ Yishun,87 years,Keys available,,1.0,,,1.42103574926841,103.846333547036,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDOV8xNzY4ODc5ODAwMDQ4
Nee Soon Central Spring,59 years,Keys available,,2.0,,,1.42974523614957,103.83213983452,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjdDN18xNzY4ODc5ODAwMTMy
Yishun Greenwalk,15 - 89 years,Keys available,2.0,,1.0,,1.43338279018701,103.843517908933,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjNDMjNfMTc2ODg3OTgwMDA0MQ
Melody Spring @ Yishun,15 - 96 years,Keys available,6.0,,1.0,,1.42779743369119,103.853089084039,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDMjFBLUMyMUJfMTc2ODg3OTgwMDE1MA
Aranda Breeze @ Yishun,15 - 99 years,2Q/2028,2.0,,1.0,,1.42346617431464,103.85249887877,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjVDMTJfMTc2ODg3OTgwMDA3OA
Forest Spring @ Yishun,96 years,Keys available,,,1.0,,1.42622867739633,103.853343944284,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDMjBfMTc2ODg3OTgwMDA5NQ
Yishun Glen,15 - 97 years,Keys available,3.0,,1.0,,1.43135865182627,103.84740077688,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjNDMjVfMTc2ODg3OTgwMDEwNw
Yishun Ctrl 1,67 years,Keys available,,,1.0,,1.42852396749923,103.837286125064,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjlDMl8xNzY4ODc5ODAwMDcw
Casa Spring @ Yishun,15 - 96 years,Keys available,2.0,,,1.0,1.42602730175345,103.851170381186,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDMThfMTc2ODg3OTgwMDEzMA
Miltonia Breeze @ Yishun,15 - 99 years,2Q/2029,26.0,,39.0,24.0,1.41877206919692,103.850586731094,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjVDOV8xNzY4ODc5ODAwMTE0
Grove Spring @ Yishun,15 - 99 years,Keys available,1.0,1.0,3.0,1.0,1.43141511321086,103.848888365067,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjRDMjNfMTc2ODg3OTgwMDA4Nw
Vanda Breeze @ Yishun,15 - 99 years,2Q/2029,14.0,5.0,13.0,19.0,1.42232414356582,103.851680340647,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjVDMTFfMTc2ODg3OTgwMDEwMA
Chencharu Hills,15 - 99 years,4Q/2028,4.0,1.0,10.0,4.0,1.41714804357478,103.824521799423,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjhDMTZfMTc2ODg3OTgwMDEzNQ
Yishun Boardwalk,15 - 99 years,Keys available,1.0,1.0,2.0,4.0,1.43317877240974,103.847489191728,Yishun,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_WVNfTjNDMjdfMTc2ODg3OTgwMDA3Nw
