Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,3Gen,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Harmony Village @ Bukit Batok,15 - 35 years,Keys available,,,,,,1.35523395393666,103.741758756565,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMjZfMTc2ODU0NTAwMDAyNA,BUKIT BATOK MRT STATION,NS2,1110.4,1450.0,17.4,11.9
Golden Daisy,15 - 45 years,Keys available,2.0,,,,,1.34755153967044,103.755783055819,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDMjFfMTc2OTQxNjIwMDAxMQ,BUKIT BATOK MRT STATION,NS2,710.5,938.0,11.3,11.3
West Ridges @ Bukit Batok,15 - 93 years,Keys available,1.0,,,,,1.35557897178099,103.737833820151,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDOF8xNzY4NTMwNjAwMDA2,BUKIT BATOK MRT STATION,NS2,1494.8,1976.0,23.7,23.4
West Plains @ Bukit Batok,15 - 95 years,Keys available,1.0,,,,,1.35737021414307,103.741749681703,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDMThfMTc2ODUzMDYwMDAxNg,BUKIT GOMBAK MRT STATION,NS3,1134.6,1621.0,19.5,10.7
Gombak Gardens,59 years,Keys available,,1.0,,,,1.35048816023777,103.754177773165,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDOF8xNzY4NTMwNjAwMDI3,BUKIT BATOK MRT STATION,NS2,540.1,750.0,9.0,9.0
Guilin Breeze,60 years,Keys available,,1.0,,,,1.35398085110663,103.752778228297,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjVDNV8xNzY4NTMwNjAwMDQw,BUKIT GOMBAK MRT STATION,NS3,524.5,913.0,10.9,10.9
Bt Batok St 31,60 years,Keys available,,,,1.0,,1.35812468915356,103.749065147205,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjNDNl8xNzY4NTMwNjAwMDI5,BUKIT GOMBAK MRT STATION,NS3,317.6,530.0,6.4,6.4
West Edge @ Bukit Batok,94 years,Keys available,,1.0,,,,1.35775731757846,103.739408616622,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjRDNV8xNzY4NTMwNjAwMDAz,BUKIT GOMBAK MRT STATION,NS3,1389.6,1937.0,23.2,11.6
Hillgrove Gardens,60 - 62 years,Keys available,,1.0,,1.0,,1.35275159558485,103.754823604086,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjVDMS1DMl8xNzY4NTMwNjAwMDQz,BUKIT BATOK MRT STATION,NS2,719.5,994.0,11.9,11.9
Bt Batok East Ave 4,59 years,Keys available,,,,2.0,,1.34942986391621,103.758419620752,Bukit Batok,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_QkJfTjJDMTJBXzE3Njg1MzA2MDAwMDU,BUKIT BATOK MRT STATION,NS2,986.5,1289.0,15.5,15.5
