Project Name,Remaining Lease,Probable Completion,2-room Flexi,4-room,5-room,Executive,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Sunshine Court,15 - 45 years,Keys available,2.0,,,,1.37734684156778,103.737912934165,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX040QzE0XzE3Njg1NDg2MDAwMjM,SOUTH VIEW LRT STATION,BP2,883.5,1065.0,12.8,12.8
Heart Of Yew Tee,15 - 45 years,3Q/2026,1.0,,,,1.3971942776408,103.745922751197,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX042QzVBXzE3Njg1NDg2MDAwMzE,YEW TEE MRT STATION,NS5,170.4,268.0,3.2,3.2
Limbang Green,15 - 45 years,Keys available,6.0,,,,1.39394093084577,103.745574792304,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX041QzEyXzE3Njg1NDg2MDAwMTM,YEW TEE MRT STATION,NS5,442.4,559.0,6.7,6.7
Teck Whye Vista,15 - 95 years,Keys available,1.0,,,,1.37915123926616,103.758554890844,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX04xQzE1XzE3Njg1NDg2MDAwNDU,PHOENIX LRT STATION,BP5,82.9,230.0,2.8,2.8
Teck Whye View,15 - 97 years,Keys available,2.0,,,,1.38049970002909,103.758352607594,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX04xQzE2XzE3Njg1NDg2MDAwNDY,PHOENIX LRT STATION,BP5,212.2,734.0,8.8,8.8
Choa Chu Kang Ctrl,63 years,Keys available,,1.0,,,1.38308302434129,103.747076627693,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX04yQzFfMTc2ODU0ODYwMDAyNA,CHOA CHU KANG LRT STATION,BP1,336.3,515.0,6.2,6.2
Keat Hong Crest,92 years,Keys available,,1.0,,,1.37451584184376,103.74347432386,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX044QzFfMTc2ODU0ODYwMDAxMA,SOUTH VIEW LRT STATION,BP2,673.5,1092.0,13.1,13.1
Keat Hong Verge,15 - 98 years,Keys available,1.0,1.0,,,1.37523065052803,103.750249994734,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX044QzExXzE3Njg1NDg2MDAwMDU,KEAT HONG LRT STATION,BP3,396.4,656.0,7.9,7.9
Sunshine Gardens,90 years,Keys available,,1.0,,,1.3758879374176,103.740225214266,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX040QzE1XzE3Njg1NDg2MDAwNDQ,SOUTH VIEW LRT STATION,BP2,746.6,1012.0,12.2,12.2
Rail Garden @ CCK,15 - 99 years,3Q/2028,4.0,5.0,,,1.38684078854813,103.7551974419,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX04xQzE3XzE3Njg1NDg2MDAwMDk,SENJA LRT STATION,BP13,920.0,1107.0,13.3,13.3
Keat Hong Axis,91 years,Keys available,,1.0,,,1.37559249810909,103.7460213304,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX044QzRfMTc2ODU0ODYwMDAwMw,KEAT HONG LRT STATION,BP3,475.8,720.0,8.6,8.6
Keat Hong Grange,99 years,4Q/2026,,1.0,4.0,,1.37392459380546,103.748455592259,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX044QzEyXzE3Njg1NDg2MDAwNDY,KEAT HONG LRT STATION,BP3,523.9,914.0,11.0,11.0
Rail Green I & II @ CCK,15 - 99 years,4Q/2027 to 3Q/2028,3.0,7.0,8.0,,1.3844076890389,103.757369205968,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX04xQzE5LUMyMF8xNzY4NTQ4NjAwMDE2,SENJA LRT STATION,BP13,586.7,746.0,8.9,8.9
Choa Chu Kang Nth 5,69 years,Keys available,,,,1.0,1.3919289820513,103.746608588015,Choa Chu Kang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_Q0NLX043QzRfMTc2ODU0ODYwMDAyOA,YEW TEE MRT STATION,NS5,621.7,773.0,9.3,9.3
