Project Name,Remaining Lease,Probable Completion,2-room Flexi,4-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Golden Mint,15 - 45 years,Keys available,2.0,,1.3795088992027,103.886990225093,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjVDMjNfMTc2OTQ3NzQwMDEzNw,BUANGKOK MRT STATION,NE15,790.4,1063.0,12.8,12.8
Hougang Dewcourt,15 - 45 years,Keys available,2.0,,1.36376463939134,103.894113954924,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDMTJfMTc2OTQ3NzQwMDEzNA,HOUGANG MRT STATION,NE14,842.0,1357.0,16.3,16.3
Hougang Meadow,15 - 45 years,Keys available,1.0,,1.36928451336933,103.89713459868,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDMTRfMTc2OTQ3NzQwMDA1Mw,HOUGANG MRT STATION,NE14,558.5,951.0,11.4,11.4
Buangkok Woods,15 - 94 years,Keys available,1.0,,1.38545472814646,103.882985586929,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjlDMjFfMTc2ODUzNDIwMDAzNQ,TONGKANG LRT STATION,SW7,527.2,2366.0,28.4,23.1
Hougang View,49 years,Keys available,,1.0,1.36486666416769,103.890727960772,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDM0FfMTc2ODUzNDIwMDAzMw,HOUGANG MRT STATION,NE14,725.9,1049.0,12.6,12.6
Kovan Wellspring,15 - 99 years,2Q/2026,5.0,,1.35986243061502,103.88691254885,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjJDMTFfMTc2ODUzNDIwMDAyMg,KOVAN MRT STATION,NE13,228.7,450.0,5.4,5.4
Hougang Ave 1,55 years,Keys available,,1.0,1.35664284566921,103.889828868222,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMl8xNzY4NTM0MjAwMDMx,KOVAN MRT STATION,NE13,672.7,936.0,11.2,11.2
Hougang Ave 7,60 years,Keys available,,1.0,1.36723963461641,103.899190031581,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjNDOF8xNzY4NTM0MjAwMDIz,HOUGANG MRT STATION,NE14,864.5,1153.0,13.8,13.8
Hougang St 91,73 years,Keys available,,1.0,1.37708638977268,103.882310053371,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjlDOV8xNzY4NTM0MjAwMDM3,HOUGANG MRT STATION,NE14,1308.0,1763.0,21.1,15.3
Buangkok Vale,89 years,Keys available,,1.0,1.38029686296144,103.877266407149,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjlDMTJfMTc2ODUzNDIwMDAzNg,FERNVALE LRT STATION,SW5,1296.0,1806.0,21.7,21.7
Hougang Citrine,15 - 99 years,Keys available,9.0,4.0,1.34692292491163,103.889769301822,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMTVfMTc2ODUzNDIwMDAyNg,BARTLEY MRT STATION,CC12,1206.7,1828.0,21.9,10.5
Hougang Olive,99 years,Keys available,,2.0,1.34877373513529,103.888360379207,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMTRfMTc2ODUzNDIwMDAzMQ,BARTLEY MRT STATION,CC12,1165.4,2053.0,24.6,24.6
Tanjong Tree Residences @ Hougang,15 - 99 years,2Q/2026 to 1Q/2028,6.0,3.0,1.34705131810249,103.886605963448,Hougang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SEdfTjFDMTMtQzEzQV8xNzY4NTM0MjAwMDMy,BARTLEY MRT STATION,CC12,897.7,1499.0,18.0,8.6
