Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Executive,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Golden Willows,15 - 45 years,Keys available,3.0,,,,,1.3476235248659,103.731009078651,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjNDMTJfMTc2OTQyMzQwMDAyMA,CHINESE GARDEN MRT STATION,EW25,629.2,775.0,9.3,9.3
Jurong East Ave 1,59 years,Keys available,,,1.0,,,1.34394361727901,103.734931027328,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjNDOV8xNzY4NTQ4NjAwMDQy,CHINESE GARDEN MRT STATION,EW25,305.9,762.0,9.2,9.2
Jurong East 32,58 years,Keys available,,,1.0,,,1.3468080909852,103.732570156371,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjNDNF8xNzY4NTQ4NjAwMDI4,CHINESE GARDEN MRT STATION,EW25,507.9,738.0,8.8,8.8
Teban Vista,87 years,Keys available,,2.0,,,,1.32378355041705,103.7385183842,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjRSQzFfMTc2ODU0ODYwMDA1MA,JURONG EAST MRT STATION,EW24 / NS1,1114.0,2720.0,32.6,19.5
Pandan Gdns,53 years,Keys available,,,,1.0,,1.32028282017937,103.747957406231,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjRDM0FfMTc2ODU0ODYwMDAwNQ,JURONG EAST MRT STATION,EW24 / NS1,1556.8,1974.0,23.7,17.9
Jurong East Breeze,15 - 99 years,2Q/2028,2.0,,4.0,,,1.34336658850832,103.744035256221,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjJDMjRfMTc2ODU0ODYwMDA0OA,BUKIT BATOK MRT STATION,NS2,876.3,1243.0,14.9,14.9
Toh Guan Grove,15 - 99 years,03/2026,6.0,,2.0,,,1.34069910047023,103.745393879835,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjJDMjZfMTc2ODU0ODYwMDAzMQ,JURONG EAST MRT STATION,EW24 / NS1,916.3,1357.0,16.3,16.3
Jurong East St 21,56 years,Keys available,,,,1.0,,1.33733111375087,103.743381794901,Jurong East,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SkVfTjJDNF8xNzY4NTQ4NjAwMDI5,JURONG EAST MRT STATION,EW24 / NS1,489.3,665.0,8.0,8.0
Golden Peony,15 - 45 years,Keys available,2.0,,,,,1.34793619788802,103.715691141274,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjVDMTVfMTc2OTQyMzQwMDAwNQ,LAKESIDE MRT STATION,EW26,713.3,966.0,11.6,11.6
Golden Lavender,15 - 45 years,Keys available,3.0,,,,,1.34258916103914,103.696931234275,Jurong West,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_SldfTjdDMTVfMTc2OTQyMzQwMDAyOA,PIONEER MRT STATION,EW28,558.1,798.0,9.6,9.6
