Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Kallang Trivista,15 - 45 years,Keys available,1.0,,,1.31234447247543,103.869898299245,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzIzQl8xNzY5NDA5MDAwMTc5,KALLANG MRT STATION,EW10,179.0,243.0,2.9,2.9
Whampoa Court,47 years,Keys available,,1.0,,1.32471579654689,103.857752875203,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzJfMTc2ODgxMTQwMDA2NA,BOON KENG MRT STATION,NE9,732.6,938.0,11.3,11.3
Whampoa Dew,15 - 45 years,Keys available,3.0,,,1.32487617789478,103.855541044499,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX043QzEwXzE3Njk0MDkwMDAwODE,BOON KENG MRT STATION,NE9,911.2,1260.0,15.1,15.1
Mcnair Towers,15 - 45 years,Keys available,2.0,,,1.32118140104797,103.860568176564,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX041QzIwQ18xNzY5NDA5MDAwMDg3,BOON KENG MRT STATION,NE9,231.8,363.0,4.3,4.3
Whampoa View,47 years,Keys available,,1.0,1.0,1.3207995912383,103.853327785421,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX043QzNfMTc2ODgxMTQwMDA2MQ,FARRER PARK MRT STATION,NE8,918.5,1083.0,13.0,13.0
Boon Keng Ville,49 years,Keys available,,1.0,1.0,1.31543175817283,103.871651573593,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzJfMTc2ODgxMTQwMDAyOQ,KALLANG MRT STATION,EW10,458.9,637.0,7.7,7.7
Whampoa Vista,61 years,Keys available,,,1.0,1.32574105577942,103.858108254641,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzlfMTc2ODgxMTQwMDAyNw,BOON KENG MRT STATION,NE9,807.7,1086.0,13.0,13.0
Kent Heights,15 - 99 years,4Q/2026,2.0,,,1.31704477678257,103.850769684392,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04xQzU5XzE3Njg4MTE0MDAwNDE,FARRER PARK MRT STATION,NE8,635.0,812.0,9.8,9.8
Kallang Breeze,97 years,Keys available,,1.0,,1.31463397675932,103.87389201137,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzU3XzE3Njg4MTE0MDAwNTU,KALLANG MRT STATION,EW10,476.8,629.0,7.5,7.5
Kallang View - Plus,99 years,1Q/2029,,38.0,12.0,1.31758240979933,103.873908786717,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX04zQzY5XzE3Njg4MTE0MDAwMzE,GEYLANG BAHRU MRT STATION,DT24,496.0,661.0,7.9,7.9
Tenteram Peak,91 years,Keys available,,,1.0,1.3282335842715,103.861138402914,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzI4Ql8xNzY4ODExNDAwMDYw,POTONG PASIR MRT STATION,NE10,949.8,1585.0,19.0,19.0
Rajah Summit,99 years,2Q/2028,,,4.0,1.32824227036472,103.852457398036,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzU0XzE3Njg4MTE0MDAwNzk,TOA PAYOH MRT STATION,NS19,716.3,1278.0,15.3,15.3
Tenteram Vantage,99 years,2Q/2028,,,9.0,1.32887598357228,103.860385295701,Kallang/Whampoa,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_S1dOX042QzcyXzE3Njg4MTE0MDAwNjI,POTONG PASIR MRT STATION,NE10,1005.2,1722.0,20.7,20.7
