Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Waterway Brooks,15 - 45 years,Keys available,4.0,,,,1.40528964160836,103.909204123728,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDNDBfMTc2OTQxMjYwMDAyNg,DAMAI LRT STATION,PE7,71.3,255.0,3.1,3.1
Punggol Ripples,15 - 45 years,Keys available,2.0,,,,1.40116989540271,103.899920878173,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzJDMTRfMTc2OTQxMjYwMDA0Mg,PUNGGOL MRT STATION,NE17,413.4,763.0,9.2,9.2
Waterfront I @ Northshore,95 years,Keys available,,1.0,,,1.4166307861995,103.89948833933,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMV8xNzY4NTMwNjAwMDMz,SAMUDERA LRT STATION,PW4,306.4,385.0,4.6,4.6
Punggol Edge,91 years,Keys available,,1.0,,,1.3948377810528,103.907584681234,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzFDNDRfMTc2ODUzMDYwMDAyNA,MERIDIAN LRT STATION,PE2,276.5,813.0,9.8,9.8
Punggol Lodge,86 years,Keys available,,,1.0,,1.40314294041732,103.908316260563,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDMTlfMTc2ODUzMDYwMDAyNQ,DAMAI LRT STATION,PE7,236.1,585.0,7.0,7.0
Waterway Sunrise I & II,15 - 96 years,Keys available,2.0,,1.0,,1.3982037356517,103.92180228981,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDNDgtQzQ5XzE3Njg1NDUwMDAwMjY,KADALOOR LRT STATION,PE5,611.9,796.0,9.6,9.6
Waterway Banks,89 years,Keys available,,,1.0,,1.40605924173081,103.912020670376,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDNDFfMTc2ODUzMDYwMDAwNw,DAMAI LRT STATION,PE7,394.6,618.0,7.4,7.4
Waterway Ridges,90 years,Keys available,,,1.0,,1.40453606912894,103.914012816111,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDMzlfMTc2ODUzMDYwMDAzMg,OASIS LRT STATION,PE6,291.3,387.0,4.7,4.7
Punggol Breeze,87 years,Keys available,,,1.0,,1.40161428921505,103.912807967947,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzZDMzNfMTc2ODUzMDYwMDAzMA,OASIS LRT STATION,PE6,73.2,142.0,1.7,1.7
Punggol Point Cove,15 - 99 years,Keys available,10.0,1.0,2.0,,1.41963540218258,103.912822442981,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMTQtQzE1XzE3Njg1MzA2MDAwMDk,PUNGGOL COAST MRT STATION,NE18,601.2,1380.0,16.6,16.6
Matilda Riverside,15 - 99 years,4Q/2027,6.0,2.0,8.0,8.0,1.40245085751093,103.889432363795,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzJDNDFfMTc2ODUzMDYwMDAzNw,FARMWAY LRT STATION,SW2,587.7,2149.0,25.8,19.3
Punggol Point Woods,15 - 98 years,Keys available,4.0,,,1.0,1.41667304873336,103.910627028411,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMTNfMTc2ODUzMDYwMDAyOA,PUNGGOL COAST MRT STATION,NE18,200.5,201.0,2.4,2.4
Punggol Point Crown,15 - 98 years,Keys available,3.0,,2.0,2.0,1.42000672442461,103.911262666217,Punggol,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UEdfUzRDMTFfMTc2ODUzMDYwMDA0MQ,PUNGGOL COAST MRT STATION,NE18,577.5,743.0,8.9,8.9
