Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Commonwealth View,15 - 45 years,Keys available,1.0,,,,1.30072792288033,103.799417284922,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjRSQzI2XzE3Njk0ODEwMDAxNDI,COMMONWEALTH MRT STATION,EW20,231.6,272.0,3.3,3.3
Ghim Moh Edge,15 - 45 years,Keys available,2.0,,,,1.30869473784381,103.784048768238,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZSMjVBXzE3Njk0ODEwMDAxNjE,DOVER MRT STATION,EW22,680.6,1018.0,12.2,12.2
Strathmore Green,15 - 45 years,Keys available,2.0,,,,1.29423642591379,103.812035249623,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjFSQzE3XzE3Njk0ODEwMDAxMDM,QUEENSTOWN MRT STATION,EW19,682.5,872.0,10.5,10.5
Skyterrace @ Dawson,15 - 45 years,Keys available,3.0,,,,1.29512086158743,103.81115001607,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjFDMl8xNzY5NDgxMDAwMTIy,QUEENSTOWN MRT STATION,EW19,582.1,837.0,10.1,10.1
Ghim Moh Gardens,51 years,Keys available,,1.0,,,1.30932882169755,103.784354189521,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZDNF8xNzY4ODA3ODAwMDYz,BUONA VISTA MRT STATION,EW21,670.0,989.0,11.9,11.9
Holland Vista,48 years,Keys available,,1.0,,,1.30905394546184,103.794063120888,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDMl8xNzY4ODA3ODAwMDQ5,HOLLAND VILLAGE MRT STATION,CC21,439.3,497.0,6.0,6.0
Ghim Moh Valley,15 - 87 years,Keys available,2.0,,,,1.30935676342126,103.785489714945,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZSQzI1XzE3Njg4ODM0MDAwNjk,BUONA VISTA MRT STATION,EW21,554.4,1006.0,12.1,12.1
Holland Cl (1),48 years,Keys available,,2.0,1.0,,1.30764996826798,103.795584896097,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDMV8xNzY4ODA3ODAwMDE1,HOLLAND VILLAGE MRT STATION,CC21,518.4,600.0,7.2,7.2
Holland Cl (2),48 years,Keys available,,,,1.0,1.30764996826798,103.795584896097,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDNV8xNzY4ODA3ODAwMDkx,HOLLAND VILLAGE MRT STATION,CC21,518.4,600.0,7.2,7.2
Tanglin Halt Cascadia - Prime,99 years,1Q/2029,,93.0,181.0,,1.30163123909487,103.795387142787,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjRDMV8xNzY4ODA3ODAwMDg2,COMMONWEALTH MRT STATION,EW20,335.1,359.0,4.3,4.3
Ulu Pandan Glades - Prime,99 years,2Q/2029,,67.0,101.0,,1.31001761046554,103.783101266877,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjhDMV8xNzY4ODA3ODAwMDM2,DOVER MRT STATION,EW22,526.9,730.0,8.8,8.8
Queen's Arc,99 years,3Q/2027,,3.0,3.0,,1.28919156848493,103.801499870492,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjJDMV8xNzY4ODA3ODAwMDYy,QUEENSTOWN MRT STATION,EW19,795.4,965.0,11.6,11.6
Ghim Moh Ascent - Prime,99 years,1Q/2028,,76.0,133.0,,1.31108897751095,103.789838490458,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZDOF8xNzY4ODA3ODAwMDEw,BUONA VISTA MRT STATION,EW21,425.6,622.0,7.5,7.5
Ghim Moh Natura - Prime,15 - 99 years,1Q/2028,4.0,82.0,139.0,,1.30877894086919,103.790177581593,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjZDOV8xNzY4ODA3ODAwMDU3,BUONA VISTA MRT STATION,EW21,169.2,276.0,3.3,3.3
Ulu Pandan Vista - Prime,99 years,2Q/2029,,169.0,136.0,,1.31182953718649,103.779754780955,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjhDM18xNzY4ODA3ODAwMDc0,DOVER MRT STATION,EW22,136.6,154.0,1.9,1.9
Holland Dr,48 years,Keys available,,,,1.0,1.30982653841948,103.792863045723,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjVDNl8xNzY4ODA3ODAwMDkw,BUONA VISTA MRT STATION,EW21,425.6,665.0,8.0,8.0
Queensway Canopy,15 - 99 years,3Q/2028 to 4Q/2028,,1.0,16.0,,1.2892815975358,103.799551519768,Queenstown,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_UVRfTjJDMl8xNzY4ODA3ODAwMDE2,QUEENSTOWN MRT STATION,EW19,938.2,1172.0,14.1,14.1
