Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,3Gen,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Anchorvale Horizon,15 - 45 years,Keys available,2.0,,,,,1.39609319862488,103.888720918656,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMTlfMTc2OTQ3NzQwMDA4OA,FARMWAY LRT STATION,SW2,137.6,304.0,3.6,3.6
Compassvale Ancilla,15 - 45 years,Keys available,2.0,,,,,1.38541559450444,103.892986078183,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNDBfMTc2OTQ3NzQwMDA4NQ,BUANGKOK MRT STATION,NE15,276.6,429.0,5.2,5.2
Fernvale Glades,15 - 96 years,Keys available,1.0,,,,,1.39410542991766,103.870728366216,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMzFfMTc2ODUzMDYwMDA0NQ,THANGGAM LRT STATION,SW4,646.8,949.0,11.4,11.4
Anchorvale Village,15 - 97 years,Keys available,1.0,,,,,1.39679315311901,103.888437344772,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMjlfMTc2ODUzMDYwMDAxOQ,FARMWAY LRT STATION,SW2,108.2,181.0,2.2,2.2
Anchorvale Plains,15 - 95 years,Keys available,1.0,,,,,1.39390663331416,103.884506817902,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDMjhBXzE3Njg1MzA2MDAwMjY,LAYAR LRT STATION,SW6,533.5,644.0,7.7,7.7
Fernvale Flora,15 - 89 years,Keys available,1.0,,,,,1.39353259342993,103.875029902679,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDMTJfMTc2ODUzMDYwMDAwMw,FERNVALE LRT STATION,SW5,229.0,338.0,4.1,4.1
Rivervale Gateway,74 years,Keys available,,,,1.0,,1.3934293161425,103.905442121703,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjFDMTlfMTc2ODUzMDYwMDA0Mw,RUMBIA LRT STATION,SE2,230.6,291.0,3.5,3.5
Anchorvale Place,75 years,Keys available,,,,1.0,,1.3891951454752,103.888598523836,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjNDNF8xNzY4NTMwNjAwMDQy,TONGKANG LRT STATION,SW7,309.9,379.0,4.5,4.5
Compassvale Vista,73 years,Keys available,,,,1.0,,1.38825618618142,103.900017893677,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNl8xNzY4NTMwNjAwMDM5,KANGKAR LRT STATION,SE4,533.0,752.0,9.0,9.0
Compassvale Cape,15 - 91 years,Keys available,1.0,1.0,,,,1.39843751923085,103.895957792826,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjJDNDNBXzE3Njg1MzA2MDAwNDU,CHENG LIM LRT STATION,SW1,338.2,554.0,6.7,6.7
Rivervale Shores,15 - 97 years,Keys available,5.0,1.0,,,,1.3864108050086,103.908822177398,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjFDMzBfMTc2ODUzMDYwMDAxMg,BAKAU LRT STATION,SE3,417.7,1986.0,23.8,23.8
Fernvale Vista,86 years,Keys available,,1.0,,,,1.39109783626622,103.875166223525,Sengkang,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_U0tfTjRDN18xNzY4NTMwNjAwMDM2,FERNVALE LRT STATION,SW5,155.2,291.0,3.5,3.5
