Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Golden Carnation,15 - 45 years,Keys available,1.0,,,,1.34523592464479,103.946197624506,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04xQzEzXzE3Njk0MTYyMDAwMzE,SIMEI MRT STATION,EW3,836.4,1271.0,15.2,15.2
Tampines Greenwood,15 - 45 years,Keys available,1.0,,,,1.35592432083149,103.932912367489,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzI2XzE3Njk0MTYyMDAwNDg,TAMPINES MRT STATION,DT32,1126.3,1376.0,16.5,16.5
Golden Pines,15 - 45 years,Keys available,2.0,,,,1.34981132942629,103.932607934056,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzRDXzE3Njk0MTYyMDAwNDU,TAMPINES WEST MRT STATION,DT31,807.1,1035.0,12.4,12.4
Tampines Alcoves,15 - 45 years,Keys available,1.0,,,,1.36421531545345,103.953511202271,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzI3XzE3Njk0MTYyMDAwNDg,TAMPINES EAST MRT STATION,DT33,912.5,1169.0,14.0,14.0
Tampines Greengem,15 - 98 years,Keys available,2.0,,,,1.34218392786105,103.93682618882,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX045QzE4XzE3Njg1MjcwMDAwOTE,TAMPINES WEST MRT STATION,DT31,415.8,486.0,5.8,5.8
Tampines St 21 (1),58 years,Keys available,,1.0,,,1.35161772799397,103.949136014012,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzNfMTc2ODUyNzAwMDA3NQ,TAMPINES MRT STATION,EW2,479.3,671.0,8.1,8.1
Tampines St 22 (1),58 years,Keys available,,1.0,,,1.34903757727999,103.951094648326,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzVfMTc2ODUyNzAwMDA3NQ,SIMEI MRT STATION,EW3,704.9,1079.0,12.9,12.9
Tampines St 22 (2),58 years,Keys available,,1.0,,,1.34903757727999,103.951094648326,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzdfMTc2ODUyNzAwMDEwNg,SIMEI MRT STATION,EW3,704.9,1079.0,12.9,12.9
Tampines St 42,59 years,Keys available,,1.0,,,1.35860079427775,103.952855021845,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzdfMTc2ODUyNzAwMDAwMw,TAMPINES EAST MRT STATION,DT33,350.4,613.0,7.3,7.3
Tampines St 21 (2),58 years,Keys available,,1.0,,,1.35161772799397,103.949136014012,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzEwXzE3Njg1MjcwMDAwOTc,TAMPINES MRT STATION,EW2,479.3,671.0,8.1,8.1
Tampines St 22 (3),58 years,Keys available,,1.0,,,1.34903757727999,103.951094648326,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzRfMTc2ODUyNzAwMDA5MA,SIMEI MRT STATION,EW3,704.9,1079.0,12.9,12.9
Tampines Ville,61 years,Keys available,,1.0,,,1.35218255588167,103.934926756252,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzlfMTc2ODUyNzAwMDA1Mw,TAMPINES WEST MRT STATION,DT31,837.6,1106.0,13.3,13.3
Tampines St 11,58 years,Keys available,,3.0,,,1.34555055834616,103.947035311906,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04xQzlfMTc2ODUyNzAwMDEwNQ,SIMEI MRT STATION,EW3,759.0,1163.0,13.9,13.9
Tampines St 43,59 years,Keys available,,1.0,,,1.36104094489015,103.951956762345,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzhfMTc2ODUyNzAwMDEwNA,TAMPINES EAST MRT STATION,DT33,632.2,942.0,11.3,11.3
Tampines St 23,59 years,Keys available,,1.0,,,1.3537795968608,103.953481420973,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzE5XzE3Njg1MjcwMDAxMDc,TAMPINES EAST MRT STATION,DT33,296.6,428.0,5.1,5.1
Tampines Polyview,58 years,Keys available,,1.0,,,1.3477050498226,103.937555571928,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzJfMTc2ODUyNzAwMDEwMw,TAMPINES WEST MRT STATION,DT31,261.8,337.0,4.0,4.0
Simei St 1 (1),62 years,Keys available,,,1.0,,1.34529676014199,103.954074790868,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04wQzE0XzE3Njg1MjcwMDAwNDg,SIMEI MRT STATION,EW3,250.4,421.0,5.0,5.0
Simei St 1 (2),62 years,Keys available,,,1.0,,1.34529676014199,103.954074790868,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04wQzRfMTc2ODUyNzAwMDA5Mg,SIMEI MRT STATION,EW3,250.4,421.0,5.0,5.0
Tampines Greencrest,99 years,Keys available,,2.0,,,1.37045305884916,103.935532637009,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzVfMTc2ODUyNzAwMDA2OQ,PASIR RIS MRT STATION,EW1,1555.3,3321.0,39.9,30.0
Tampines St 21 (3),58 years,Keys available,,,1.0,,1.35161772799397,103.949136014012,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzlfMTc2ODUyNzAwMDAwNA,TAMPINES MRT STATION,EW2,479.3,671.0,8.1,8.1
Tampines Greenspring,15 - 98 years,Keys available,2.0,1.0,,,1.35449039932646,103.939687442353,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzMxXzE3Njg1MjcwMDAwOTY,TAMPINES MRT STATION,DT32,380.5,529.0,6.3,6.3
Tampines St 21 (4),58 years,Keys available,,,1.0,,1.35161772799397,103.949136014012,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX04yQzlCXzE3Njg1MjcwMDAwNjk,TAMPINES MRT STATION,EW2,479.3,671.0,8.1,8.1
Tampines Greenlace,91 years,Keys available,,,1.0,,1.35608700205895,103.931752248401,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzMwXzE3Njg1MjcwMDAxMDI,TAMPINES MRT STATION,DT32,1256.2,1524.0,18.3,13.8
Tampines Greenglade,99 years,Keys available,,,2.0,,1.36771141986309,103.934528303817,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzNfMTc2ODUyNzAwMDAyMw,TAMPINES MRT STATION,DT32,1675.7,2241.0,26.9,12.3
Tampines Greenforest,91 years,Keys available,,,1.0,,1.35158903554129,103.928804430639,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX044QzI5XzE3Njg1MjcwMDAwNzA,TAMPINES WEST MRT STATION,DT31,1268.4,1533.0,18.4,13.8
Tampines Greenglen,98 years,Keys available,,,1.0,,1.36970257923268,103.934341454423,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzRfMTc2ODUyNzAwMDAwMw,PASIR RIS MRT STATION,EW1,1701.9,3410.0,40.9,29.4
Tampines Greenvines,97 years,Keys available,,,1.0,,1.36707592748737,103.943629836204,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzE3XzE3Njg1MjcwMDAwMjQ,PASIR RIS MRT STATION,EW1,913.2,1819.0,21.8,21.8
Tampines Greencourt,15 - 97 years,Keys available,1.0,,1.0,,1.36492822101013,103.940418416846,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzEzXzE3Njg1MjcwMDAwOTE,TAMPINES MRT STATION,DT32,1113.2,1460.0,17.5,17.5
Sun Plaza Spring,99 years,2Q/2026,,,1.0,,1.3585795422464,103.949531894985,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX040QzI5XzE3Njg1MjcwMDAxMDA,TAMPINES EAST MRT STATION,DT33,645.3,839.0,10.1,10.1
Tampines Greenweave,15 - 94 years,Keys available,1.0,,1.0,,1.36314791550448,103.93511840985,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzJBXzE3Njg1MjcwMDAwNzM,TAMPINES MRT STATION,DT32,1241.4,1560.0,18.7,18.7
Tampines Greenridges,94 years,Keys available,,,2.0,,1.36075948651835,103.936832524812,Tampines,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEFQX042QzFBXzE3Njg1MjcwMDAwNTA,TAMPINES MRT STATION,DT32,920.4,1222.0,14.7,14.7
