Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Plantation Village,15 - 97 years,Keys available,4.0,,,,1.35793237600526,103.73387780517,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDMV8xNzY4ODA3ODAwMDM5,CHINESE GARDEN MRT STATION,EW25,1748.7,2511.0,30.1,17.3
Garden Vines @ Tengah,98 years,Keys available,,1.0,,,1.36061578677807,103.732199052701,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDMV8xNzY4ODA3ODAwMDE4,,,0.0,0.0,0.0,0.0
Garden Vale @ Tengah,15 - 98 years,Keys available,1.0,,1.0,,1.36041333311956,103.733366084597,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDMl8xNzY4ODA3ODAwMDIw,,,0.0,0.0,0.0,0.0
Garden Court @ Tengah,99 years,Keys available,,,2.0,,1.3578842980004,103.729449381202,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDNV8xNzY4ODA3ODAwMDQ3,CHINESE GARDEN MRT STATION,EW25,1777.7,3248.0,39.0,18.9
Parc Woods @ Tengah,15 - 99 years,Keys available,5.0,1.0,4.0,,1.36220155032368,103.734278027239,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDNl8xNzY4ODA3ODAwMDY0,BUKIT GOMBAK MRT STATION,NS3,1997.0,2727.0,32.7,29.4
Brickland Weave,15 - 99 years,4Q/2027,3.0,2.0,3.0,4.0,1.370586796237,103.745024024253,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDVDMl8xNzY4ODA3ODAwMDQ1,KEAT HONG LRT STATION,BP3,997.7,1281.0,15.4,15.4
Plantation Grove,15 - 98 years,Keys available,5.0,2.0,1.0,1.0,1.35836009636405,103.736836578343,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDMl8xNzY4ODA3ODAwMDMw,BUKIT GOMBAK MRT STATION,NS3,1672.5,2244.0,26.9,20.1
Plantation Creek,99 years,2Q/2026,,,6.0,2.0,1.35384485427988,103.729851641852,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDNl8xNzY4ODA3ODAwMDgz,CHINESE GARDEN MRT STATION,EW25,1329.9,1516.0,18.2,18.2
Parc Clover @ Tengah,15 - 99 years,Keys available,4.0,,1.0,2.0,1.36068443168876,103.735582864096,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDN18xNzY4ODA3ODAwMDAz,BUKIT GOMBAK MRT STATION,NS3,1826.2,2493.0,29.9,27.6
Plantation Edge I & II,15 - 99 years,2Q/2027 to 4Q/2027,1.0,,3.0,1.0,1.35324637444701,103.735968354011,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDNUEtQzVCXzE3Njg4MDc4MDAwNTA,CHINESE GARDEN MRT STATION,EW25,1274.0,2348.0,28.2,10.8
Garden Bloom @ Tengah,99 years,Keys available,,,1.0,1.0,1.36055307199671,103.728441416772,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDNF8xNzY4ODA3ODAwMDA1,LAKESIDE MRT STATION,EW26,1998.7,4665.0,56.0,36.4
Plantation Acres,15 - 97 years,Keys available,1.0,,,2.0,1.35447254345357,103.734156856636,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDFDNF8xNzY4ODA3ODAwMDQz,CHINESE GARDEN MRT STATION,EW25,1368.4,2193.0,26.3,20.7
Parc Glen @ Tengah,15 - 99 years,Keys available,1.0,,6.0,2.0,1.36299866703433,103.73773555621,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDNDMl8xNzY4ODA3ODAwMDUy,BUKIT GOMBAK MRT STATION,NS3,1646.3,2898.0,34.8,27.6
Garden Terrace @ Tengah,99 years,Keys available,,1.0,1.0,1.0,1.3576156593332,103.730112972709,Tengah,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VEdfRDJDNl8xNzY4ODA3ODAwMDMx,CHINESE GARDEN MRT STATION,EW25,1734.4,3107.0,37.3,19.3
