Project Name,Remaining Lease,Probable Completion,2-room Flexi,3-room,4-room,5-room,Executive,Latitude,Longitude,Town,Mode of Sale,URL,Nearest_MRT,MRT_Station_Code,MRT_Distance_m,Walk_Distance_m,Walk_Duration_min,bus_duration_min
Golden Lotus,15 - 45 years,Keys available,5.0,,,,,1.335835775451,103.850826873624,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjJSQzMyXzE3Njk0MjM0MDAwMTQ,TOA PAYOH MRT STATION,NS19,519.8,820.0,9.8,9.8
Joo Seng Green,42 years,Keys available,,1.0,,,,1.33490017856933,103.879334262884,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjhDMV8xNzY4ODA3ODAwMDY2,BARTLEY MRT STATION,CC12,886.7,1603.0,19.2,19.2
Golden Clover,15 - 45 years,Keys available,4.0,,,,,1.33130492413517,103.859019241044,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjZDMjRfMTc2OTQyMzQwMDAxMw,POTONG PASIR MRT STATION,NE10,1115.5,2168.0,26.0,9.0
Kim Keat View,47 years,Keys available,,1.0,,,,1.33093933675526,103.858181909317,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjZDMTBfMTc2ODgwNzgwMDA1NA,TOA PAYOH MRT STATION,NS19,1189.6,1472.0,17.7,12.8
Kim Keat Court,43 years,Keys available,,2.0,,,,1.33943033543358,103.853442790992,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjFDMV8xNzY4ODA3ODAwMDUx,BRADDELL MRT STATION,NS18,748.7,953.0,11.4,11.4
Toa Payoh Spring,47 years,Keys available,,,1.0,,,1.33889442783825,103.849538318068,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjVDMTdfMTc2ODgwNzgwMDAyOA,BRADDELL MRT STATION,NS18,340.7,554.0,6.7,6.7
Alkaff Oasis,15 - 95 years,Keys available,1.0,,,,,1.33348416178983,103.873147176611,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDNl8xNzY4ODA3ODAwMDQ3,POTONG PASIR MRT STATION,NE10,508.2,529.0,6.3,6.3
Woodleigh Glen,15 - 96 years,Keys available,2.0,,,,,1.34181781631173,103.872577803102,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDOF8xNzY4ODA3ODAwMDE0,WOODLEIGH MRT STATION,NE11,355.1,638.0,7.7,7.7
Alkaff Courtview,15 - 95 years,Keys available,4.0,,,,,1.33622045424375,103.871847066518,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjlDMV8xNzY4ODA3ODAwMDY3,WOODLEIGH MRT STATION,NE11,352.5,345.0,4.2,4.2
Potong Pasir Ave 3,58 years,Keys available,,1.0,,,,1.33356150384045,103.865191495111,Toa Payoh,SBF,https://homes.hdb.gov.sg/home/sbf/details/2026-02_SBF_VFBfTjdDMl8xNzY4ODA3ODAwMDgz,POTONG PASIR MRT STATION,NE10,489.2,674.0,8.1,8.1
