flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 140A,Chinese,#04:1; #05:1; #13:1; #26:1; #29:1; #31:1,"$84,500 - $354,500",Important notes
2-room Flexi,Blk 140A,Indian/ Other Races,#04:1; #05:1; #13:1; #26:1; #29:1; #31:1,"$84,500 - $354,500",Important notes
2-room Flexi,Blk 140A,Malay,#04:1; #05:1; #13:1; #26:1; #29:1; #31:1,"$84,500 - $354,500",Important notes
3-room,Blk 140A,Chinese,#03:1; #04:1; #05:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #18:1; #19:1; #20:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #35:1; #36:1; #37:1,"$399,100 - $529,500",Important notes
3-room,Blk 140B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #10:1; #11:1; #12:1; #16:1; #17:1; #19:1; #22:1; #24:1; #25:1; #27:1; #30:1; #31:1; #34:1; #35:1; #37:1,"$399,100 - $529,500",Important notes
3-room,Blk 140C,Chinese,#04:1; #05:1; #06:1; #07:1; #08:1; #11:1; #12:1; #15:1; #16:1; #21:1; #22:1; #26:1; #27:1; #46:1,"$399,100 - $529,500",Important notes
3-room,Blk 140A,Indian/ Other Races,#03:1; #04:1; #05:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #18:1; #19:1; #20:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #35:1; #36:1; #37:1,"$399,100 - $529,500",Important notes
3-room,Blk 140B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #10:1; #11:1; #12:1; #16:1; #17:1; #19:1; #22:1; #24:1; #25:1; #27:1; #30:1; #31:1; #34:1; #35:1; #37:1,"$399,100 - $529,500",Important notes
3-room,Blk 140C,Indian/ Other Races,#04:1; #05:1; #06:1; #07:1; #08:1; #11:1; #12:1; #15:1; #16:1; #21:1; #22:1; #26:1; #27:1; #46:1,"$399,100 - $529,500",Important notes
3-room,Blk 140A,Malay,#03:1; #04:1; #05:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #18:1; #19:1; #20:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #33:1; #34:1; #35:1; #36:1; #37:1,"$399,100 - $529,500",Important notes
3-room,Blk 140B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #10:1; #11:1; #12:1; #16:1; #17:1; #19:1; #22:1; #24:1; #25:1; #27:1; #30:1; #31:1; #34:1; #35:1; #37:1,"$399,100 - $529,500",Important notes
3-room,Blk 140C,Malay,#04:1; #05:1; #06:1; #07:1; #08:1; #11:1; #12:1; #15:1; #16:1; #21:1; #22:1; #26:1; #27:1; #46:1,"$399,100 - $529,500",Important notes
4-room,Blk 140A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #18:1; #19:1; #20:1; #21:1; #22:1; #24:1; #33:1,"$606,500 - $787,000",Important notes
4-room,Blk 140B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #15:1; #17:1; #26:1; #32:1; #34:1; #35:1; #38:1; #41:1; #43:1,"$606,500 - $787,000",Important notes
4-room,Blk 140C,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #18:1; #19:1; #24:1; #31:1; #46:1; #47:1,"$606,500 - $787,000",Important notes
4-room,Blk 140A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #18:1; #19:1; #20:1; #21:1; #22:1; #24:1; #33:1,"$606,500 - $787,000",Important notes
4-room,Blk 140B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #15:1; #17:1; #26:1; #32:1; #34:1; #35:1; #38:1; #41:1; #43:1,"$606,500 - $787,000",Important notes
4-room,Blk 140C,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #18:1; #19:1; #24:1; #31:1; #46:1; #47:1,"$606,500 - $787,000",Important notes
4-room,Blk 140A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #18:1; #19:1; #20:1; #21:1; #22:1; #24:1; #33:1,"$606,500 - $787,000",Important notes
4-room,Blk 140B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #15:1; #17:1; #26:1; #32:1; #34:1; #35:1; #38:1; #41:1; #43:1,"$606,500 - $787,000",Important notes
4-room,Blk 140C,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #18:1; #19:1; #24:1; #31:1; #46:1; #47:1,"$606,500 - $787,000",Important notes
