flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 224C,Chinese,#12:1,"$173,000 - $638,600",Important notes
3-room,Blk 224C,Indian/ Other Races,#12:1,"$173,000 - $638,600",Important notes
3-room,Blk 224C,Malay,#12:1,"$173,000 - $638,600",Important notes
4-room,Blk 222A,Chinese,#06:1,"$830,800 - $892,600",Important notes
4-room,Blk 222B,Chinese,#04:1,"$830,800 - $892,600",Important notes
4-room,Blk 223A,Chinese,#03:1,"$830,800 - $892,600",Important notes
4-room,Blk 223C,Chinese,#10:1,"$830,800 - $892,600",Important notes
4-room,Blk 224A,Chinese,#14:1,"$830,800 - $892,600",Important notes
4-room,Blk 224B,Chinese,#16:1,"$830,800 - $892,600",Important notes
4-room,Blk 224C,Chinese,#06:1,"$830,800 - $892,600",Important notes
4-room,Blk 222A,Indian/ Other Races,#06:1,"$830,800 - $892,600",Important notes
4-room,Blk 222B,Indian/ Other Races,#04:1,"$830,800 - $892,600",Important notes
4-room,Blk 223A,Indian/ Other Races,#03:1,"$830,800 - $892,600",Important notes
4-room,Blk 223C,Indian/ Other Races,#10:1,"$830,800 - $892,600",Important notes
4-room,Blk 224A,Indian/ Other Races,#14:1,"$830,800 - $892,600",Important notes
4-room,Blk 224B,Indian/ Other Races,#16:1,"$830,800 - $892,600",Important notes
4-room,Blk 224C,Indian/ Other Races,#06:1,"$830,800 - $892,600",Important notes
4-room,Blk 222A,Malay,#06:1,"$830,800 - $892,600",Important notes
4-room,Blk 222B,Malay,#04:1,"$830,800 - $892,600",Important notes
4-room,Blk 223A,Malay,#03:1,"$830,800 - $892,600",Important notes
4-room,Blk 223C,Malay,#10:1,"$830,800 - $892,600",Important notes
4-room,Blk 224A,Malay,#14:1,"$830,800 - $892,600",Important notes
4-room,Blk 224B,Malay,#16:1,"$830,800 - $892,600",Important notes
4-room,Blk 224C,Malay,#06:1,"$830,800 - $892,600",Important notes
