flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 216A,Chinese,#04:1,"$581,900 - $600,900",Important notes
3-room,Blk 216B,Chinese,#02:1,"$581,900 - $600,900",Important notes
3-room,Blk 216A,Indian/ Other Races,#04:1,"$581,900 - $600,900",Important notes
3-room,Blk 216B,Indian/ Other Races,#02:1,"$581,900 - $600,900",Important notes
3-room,Blk 216A,Malay,#04:1,"$581,900 - $600,900",Important notes
3-room,Blk 216B,Malay,#02:1,"$581,900 - $600,900",Important notes
4-room,Blk 216A,Chinese,#08:1,"$845,000 - $862,000",Important notes
4-room,Blk 216C,Chinese,#06:1,"$845,000 - $862,000",Important notes
4-room,Blk 216A,Indian/ Other Races,#08:1,"$845,000 - $862,000",Important notes
4-room,Blk 216C,Indian/ Other Races,#06:1,"$845,000 - $862,000",Important notes
4-room,Blk 216A,Malay,#08:1,"$845,000 - $862,000",Important notes
4-room,Blk 216C,Malay,#06:1,"$845,000 - $862,000",Important notes
