flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 916A,Chinese,#13:1,"$115,300 - $344,600",Important notes
2-room Flexi,Blk 916A,Indian/ Other Races,#13:1,"$115,300 - $344,600",Important notes
2-room Flexi,Blk 916A,Malay,#13:1,"$115,300 - $344,600",Important notes
4-room,Blk 915A,Chinese,#05:1; #21:1,"$652,200 - $728,000",Important notes
4-room,Blk 915B,Chinese,#05:1,"$652,200 - $728,000",Important notes
4-room,Blk 916B,Chinese,#21:1,"$652,200 - $728,000",Important notes
4-room,Blk 915A,Indian/ Other Races,#05:1; #21:1,"$652,200 - $728,000",Important notes
4-room,Blk 915B,Indian/ Other Races,#05:1,"$652,200 - $728,000",Important notes
4-room,Blk 916B,Indian/ Other Races,#21:1,"$652,200 - $728,000",Important notes
4-room,Blk 915A,Malay,#05:1; #21:1,"$652,200 - $728,000",Important notes
4-room,Blk 915B,Malay,#05:1,"$652,200 - $728,000",Important notes
4-room,Blk 916B,Malay,#21:1,"$652,200 - $728,000",Important notes
