flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 912B,Chinese,#13:1; #20:1,"$90,800 - $373,700",Important notes
2-room Flexi,Blk 912C,Chinese,#21:1,"$90,800 - $373,700",Important notes
2-room Flexi,Blk 912B,Indian/ Other Races,#13:1; #20:1,"$90,800 - $373,700",Important notes
2-room Flexi,Blk 912C,Indian/ Other Races,#21:1,"$90,800 - $373,700",Important notes
2-room Flexi,Blk 912B,Malay,#13:1; #20:1,"$90,800 - $373,700",Important notes
2-room Flexi,Blk 912C,Malay,#21:1,"$90,800 - $373,700",Important notes
3-room,Blk 912C,Chinese,#06:1,"$178,000 - $467,100",Important notes
3-room,Blk 912C,Indian/ Other Races,#06:1,"$178,000 - $467,100",Important notes
3-room,Blk 912C,Malay,#06:1,"$178,000 - $467,100",Important notes
4-room,Blk 911B,Chinese,#12:1; #21:1,"$599,200 - $724,900",Important notes
4-room,Blk 911C,Chinese,#09:1,"$599,200 - $724,900",Important notes
4-room,Blk 912A,Chinese,#04:1,"$599,200 - $724,900",Important notes
4-room,Blk 912B,Chinese,#12:1,"$599,200 - $724,900",Important notes
4-room,Blk 912C,Chinese,#09:1,"$599,200 - $724,900",Important notes
4-room,Blk 911B,Indian/ Other Races,#12:1; #21:1,"$599,200 - $724,900",Important notes
4-room,Blk 911C,Indian/ Other Races,#09:1,"$599,200 - $724,900",Important notes
4-room,Blk 912A,Indian/ Other Races,#04:1,"$599,200 - $724,900",Important notes
4-room,Blk 912B,Indian/ Other Races,#12:1,"$599,200 - $724,900",Important notes
4-room,Blk 912C,Indian/ Other Races,#09:1,"$599,200 - $724,900",Important notes
4-room,Blk 911B,Malay,#12:1; #21:1,"$599,200 - $724,900",Important notes
4-room,Blk 911C,Malay,#09:1,"$599,200 - $724,900",Important notes
4-room,Blk 912A,Malay,#04:1,"$599,200 - $724,900",Important notes
4-room,Blk 912B,Malay,#12:1,"$599,200 - $724,900",Important notes
4-room,Blk 912C,Malay,#09:1,"$599,200 - $724,900",Important notes
