flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 558A,Chinese,#03:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 558B,Chinese,#08:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 559A,Chinese,#08:1; #13:1; #14:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 558A,Indian/ Other Races,#03:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 558B,Indian/ Other Races,#08:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 559A,Indian/ Other Races,#08:1; #13:1; #14:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 558A,Malay,#03:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 558B,Malay,#08:1,"$72,700 - $289,800",Important notes
2-room Flexi,Blk 559A,Malay,#08:1; #13:1; #14:1,"$72,700 - $289,800",Important notes
4-room,Blk 558A,Chinese,#13:1,"$536,400 - $609,000",Important notes
4-room,Blk 558B,Chinese,#04:1; #12:1; #15:1,"$536,400 - $609,000",Important notes
4-room,Blk 559A,Chinese,#08:1,"$536,400 - $609,000",Important notes
4-room,Blk 558A,Indian/ Other Races,#13:1,"$536,400 - $609,000",Important notes
4-room,Blk 558B,Indian/ Other Races,#04:1; #12:1; #15:1,"$536,400 - $609,000",Important notes
4-room,Blk 559A,Indian/ Other Races,#08:1,"$536,400 - $609,000",Important notes
4-room,Blk 558A,Malay,#13:1,"$536,400 - $609,000",Important notes
4-room,Blk 558B,Malay,#04:1; #12:1; #15:1,"$536,400 - $609,000",Important notes
4-room,Blk 559A,Malay,#08:1,"$536,400 - $609,000",Important notes
5-room,Blk 558A,Chinese,#02:1,"$722,200 - $751,800",Important notes
5-room,Blk 559A,Chinese,#09:1,"$722,200 - $751,800",Important notes
5-room,Blk 558A,Indian/ Other Races,#02:1,"$722,200 - $751,800",Important notes
5-room,Blk 559A,Indian/ Other Races,#09:1,"$722,200 - $751,800",Important notes
5-room,Blk 558A,Malay,#02:1,"$722,200 - $751,800",Important notes
5-room,Blk 559A,Malay,#09:1,"$722,200 - $751,800",Important notes
