flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 49A,Chinese,#17:1; #22:1,"$91,800 - $331,700",Important notes
2-room Flexi,Blk 49B,Chinese,#02:1; #15:1; #17:1; #19:1; #22:1; #25:1,"$91,800 - $331,700",Important notes
2-room Flexi,Blk 49A,Indian/ Other Races,#17:1; #22:1,"$91,800 - $331,700",Important notes
2-room Flexi,Blk 49B,Indian/ Other Races,#02:1; #15:1; #17:1; #19:1; #22:1; #25:1,"$91,800 - $331,700",Important notes
2-room Flexi,Blk 49A,Malay,#17:1; #22:1,"$91,800 - $331,700",Important notes
2-room Flexi,Blk 49B,Malay,#02:1; #15:1; #17:1; #19:1; #22:1; #25:1,"$91,800 - $331,700",Important notes
4-room,Blk 49A,Chinese,#11:1; #24:1,"$596,600 - $708,700",Important notes
4-room,Blk 49B,Chinese,#02:1; #22:1,"$596,600 - $708,700",Important notes
4-room,Blk 49A,Indian/ Other Races,#11:1; #24:1,"$596,600 - $708,700",Important notes
4-room,Blk 49B,Indian/ Other Races,#02:1; #22:1,"$596,600 - $708,700",Important notes
4-room,Blk 49A,Malay,#11:1; #24:1,"$596,600 - $708,700",Important notes
4-room,Blk 49B,Malay,#02:1; #22:1,"$596,600 - $708,700",Important notes
