flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 47A,Chinese,#07:1,"$178,000 - $467,100",Important notes
3-room,Blk 47A,Indian/ Other Races,#07:1,"$178,000 - $467,100",Important notes
3-room,Blk 47A,Malay,#07:1,"$178,000 - $467,100",Important notes
4-room,Blk 46A,Chinese,#07:1; #18:1,"$618,300 - $694,700",Important notes
4-room,Blk 46B,Chinese,#17:1,"$618,300 - $694,700",Important notes
4-room,Blk 47A,Chinese,#14:1,"$618,300 - $694,700",Important notes
4-room,Blk 47C,Chinese,#08:1,"$618,300 - $694,700",Important notes
4-room,Blk 48A,Chinese,#18:1,"$618,300 - $694,700",Important notes
4-room,Blk 46A,Indian/ Other Races,#07:1; #18:1,"$618,300 - $694,700",Important notes
4-room,Blk 46B,Indian/ Other Races,#17:1,"$618,300 - $694,700",Important notes
4-room,Blk 47A,Indian/ Other Races,#14:1,"$618,300 - $694,700",Important notes
4-room,Blk 47C,Indian/ Other Races,#08:1,"$618,300 - $694,700",Important notes
4-room,Blk 48A,Indian/ Other Races,#18:1,"$618,300 - $694,700",Important notes
4-room,Blk 46A,Malay,#07:1; #18:1,"$618,300 - $694,700",Important notes
4-room,Blk 46B,Malay,#17:1,"$618,300 - $694,700",Important notes
4-room,Blk 47A,Malay,#14:1,"$618,300 - $694,700",Important notes
4-room,Blk 47C,Malay,#08:1,"$618,300 - $694,700",Important notes
4-room,Blk 48A,Malay,#18:1,"$618,300 - $694,700",Important notes
5-room,Blk 46A,Chinese,#08:1; #20:1,"$831,200 - $894,300",Important notes
5-room,Blk 47A,Chinese,#11:1,"$831,200 - $894,300",Important notes
5-room,Blk 48B,Chinese,#05:1; #17:1; #20:1,"$831,200 - $894,300",Important notes
5-room,Blk 46A,Indian/ Other Races,#08:1; #20:1,"$831,200 - $894,300",Important notes
5-room,Blk 47A,Indian/ Other Races,#11:1,"$831,200 - $894,300",Important notes
5-room,Blk 48B,Indian/ Other Races,#05:1; #17:1; #20:1,"$831,200 - $894,300",Important notes
5-room,Blk 46A,Malay,#08:1; #20:1,"$831,200 - $894,300",Important notes
5-room,Blk 47A,Malay,#11:1,"$831,200 - $894,300",Important notes
5-room,Blk 48B,Malay,#05:1; #17:1; #20:1,"$831,200 - $894,300",Important notes
