project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 415A, Blk 416A",#02:1; #03:1; #05:1,3,"$49,100 - $205,100"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 415A, Blk 416A",#02:1; #03:1; #05:1,3,"$49,100 - $205,100"
Important notes,2-room Flexi,Malay,"Blk 415A, Blk 416A",#02:1; #03:1; #05:1,3,"$49,100 - $205,100"
Important notes,3-room,Chinese,"Blk 413B, Blk 416A",#10:1; #12:1,2,"$344,700 - $357,100"
Important notes,3-room,Indian/ Other Races,"Blk 413B, Blk 416A",#10:1; #12:1,2,"$344,700 - $357,100"
Important notes,3-room,Malay,Blk 416A,#10:1,1,"$344,700 - $357,100"
Important notes,4-room,Chinese,"Blk 411A, Blk 412B, Blk 416A",#04:1; #08:1; #10:1,3,"$389,100 - $414,300"
Important notes,4-room,Indian/ Other Races,"Blk 411A, Blk 412B, Blk 416A",#04:1; #08:1; #10:1,3,"$389,100 - $414,300"
Important notes,4-room,Malay,"Blk 412B, Blk 416A",#04:1; #10:1,2,"$389,100 - $414,300"
Important notes,5-room,Chinese,"Blk 411A, Blk 412A, Blk 415A, Blk 417A",#07:1; #08:1; #11:1; #14:1,4,"$536,600 - $559,100"
Important notes,5-room,Indian/ Other Races,"Blk 411A, Blk 412A, Blk 415A, Blk 417A",#07:1; #08:1; #11:1; #14:1,4,"$536,600 - $559,100"
Important notes,5-room,Malay,"Blk 411A, Blk 415A, Blk 417A",#08:1; #11:1; #14:1,3,"$536,600 - $559,100"
