flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 415A,Chinese,#05:1,"$49,100 - $205,100",Important notes
2-room Flexi,Blk 416A,Chinese,#02:1; #03:1,"$49,100 - $205,100",Important notes
2-room Flexi,Blk 415A,Indian/ Other Races,#05:1,"$49,100 - $205,100",Important notes
2-room Flexi,Blk 416A,Indian/ Other Races,#02:1; #03:1,"$49,100 - $205,100",Important notes
2-room Flexi,Blk 415A,Malay,#05:1,"$49,100 - $205,100",Important notes
2-room Flexi,Blk 416A,Malay,#02:1; #03:1,"$49,100 - $205,100",Important notes
3-room,Blk 413B,Chinese,#12:1,"$344,700 - $357,100",Important notes
3-room,Blk 416A,Chinese,#10:1,"$344,700 - $357,100",Important notes
3-room,Blk 413B,Indian/ Other Races,#12:1,"$344,700 - $357,100",Important notes
3-room,Blk 416A,Indian/ Other Races,#10:1,"$344,700 - $357,100",Important notes
3-room,Blk 416A,Malay,#10:1,"$344,700 - $357,100",Important notes
4-room,Blk 411A,Chinese,#08:1,"$389,100 - $414,300",Important notes
4-room,Blk 412B,Chinese,#04:1,"$389,100 - $414,300",Important notes
4-room,Blk 416A,Chinese,#10:1,"$389,100 - $414,300",Important notes
4-room,Blk 411A,Indian/ Other Races,#08:1,"$389,100 - $414,300",Important notes
4-room,Blk 412B,Indian/ Other Races,#04:1,"$389,100 - $414,300",Important notes
4-room,Blk 416A,Indian/ Other Races,#10:1,"$389,100 - $414,300",Important notes
4-room,Blk 412B,Malay,#04:1,"$389,100 - $414,300",Important notes
4-room,Blk 416A,Malay,#10:1,"$389,100 - $414,300",Important notes
5-room,Blk 411A,Chinese,#14:1,"$536,600 - $559,100",Important notes
5-room,Blk 412A,Chinese,#07:1,"$536,600 - $559,100",Important notes
5-room,Blk 415A,Chinese,#08:1,"$536,600 - $559,100",Important notes
5-room,Blk 417A,Chinese,#11:1,"$536,600 - $559,100",Important notes
5-room,Blk 411A,Indian/ Other Races,#14:1,"$536,600 - $559,100",Important notes
5-room,Blk 412A,Indian/ Other Races,#07:1,"$536,600 - $559,100",Important notes
5-room,Blk 415A,Indian/ Other Races,#08:1,"$536,600 - $559,100",Important notes
5-room,Blk 417A,Indian/ Other Races,#11:1,"$536,600 - $559,100",Important notes
5-room,Blk 411A,Malay,#14:1,"$536,600 - $559,100",Important notes
5-room,Blk 415A,Malay,#08:1,"$536,600 - $559,100",Important notes
5-room,Blk 417A,Malay,#11:1,"$536,600 - $559,100",Important notes
