flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 132A,Chinese,#02:2; #03:2; #04:1; #05:1; #06:1; #08:1; #09:1; #13:2; #14:2; #16:2; #17:1; #19:1; #21:1; #22:1; #24:1; #31:1; #35:1; #42:1; #46:1; #47:1,"$431,900 - $564,500",Important notes
3-room,Blk 134A,Chinese,#02:1; #03:1; #04:2; #05:2; #07:1; #10:1; #12:1; #14:1; #18:1; #20:1; #22:1; #33:2; #34:1; #35:1; #36:1; #38:1; #43:1; #47:1,"$431,900 - $564,500",Important notes
3-room,Blk 135A,Chinese,#02:2; #04:2; #06:2; #07:1; #08:1; #09:1; #15:1; #23:1; #25:1; #34:1; #36:1; #45:1; #46:1,"$431,900 - $564,500",Important notes
3-room,Blk 136A,Chinese,#02:2; #04:2; #05:1; #07:1; #09:1; #10:2; #14:2; #15:1; #16:1; #17:2; #21:1; #23:1; #24:1; #27:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:2; #39:2; #40:2; #41:1; #43:1; #44:1; #45:1,"$431,900 - $564,500",Important notes
3-room,Blk 137A,Chinese,#03:1; #04:2; #05:1; #06:1; #07:1; #08:2; #09:1; #10:1; #12:1; #13:1; #14:1; #15:1; #16:2; #19:1; #21:1; #24:1; #25:1; #26:1; #27:1; #29:1; #31:1; #38:1; #43:1; #44:1; #46:1,"$431,900 - $564,500",Important notes
3-room,Blk 132A,Indian/ Other Races,#02:2; #03:2; #04:1; #05:1; #06:1; #08:1; #09:1; #13:2; #14:2; #16:2; #17:1; #19:1; #21:1; #22:1; #24:1; #31:1; #35:1; #42:1; #46:1; #47:1,"$431,900 - $564,500",Important notes
3-room,Blk 134A,Indian/ Other Races,#02:1; #03:1; #04:2; #05:2; #07:1; #10:1; #12:1; #14:1; #18:1; #20:1; #22:1; #33:2; #34:1; #35:1; #36:1; #38:1; #43:1; #47:1,"$431,900 - $564,500",Important notes
3-room,Blk 135A,Indian/ Other Races,#02:2; #04:2; #06:2; #07:1; #08:1; #09:1; #15:1; #23:1; #25:1; #34:1; #36:1; #45:1; #46:1,"$431,900 - $564,500",Important notes
3-room,Blk 136A,Indian/ Other Races,#02:2; #04:2; #05:1; #07:1; #09:1; #10:2; #14:2; #15:1; #16:1; #17:2; #21:1; #23:1; #24:1; #27:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:2; #39:2; #40:2; #41:1; #43:1; #44:1; #45:1,"$431,900 - $564,500",Important notes
3-room,Blk 137A,Indian/ Other Races,#03:1; #04:2; #05:1; #06:1; #07:1; #08:2; #09:1; #10:1; #12:1; #13:1; #14:1; #15:1; #16:2; #19:1; #21:1; #24:1; #25:1; #26:1; #27:1; #29:1; #31:1; #38:1; #43:1; #44:1; #46:1,"$431,900 - $564,500",Important notes
3-room,Blk 132A,Malay,#02:2; #03:2; #04:1; #05:1; #06:1; #08:1; #09:1; #13:2; #14:2; #16:2; #17:1; #19:1; #21:1; #22:1; #24:1; #31:1; #35:1; #42:1; #46:1; #47:1,"$431,900 - $564,500",Important notes
3-room,Blk 134A,Malay,#02:1; #03:1; #04:2; #05:2; #07:1; #10:1; #12:1; #14:1; #18:1; #20:1; #22:1; #33:2; #34:1; #35:1; #36:1; #38:1; #43:1; #47:1,"$431,900 - $564,500",Important notes
3-room,Blk 135A,Malay,#02:2; #04:2; #06:2; #07:1; #08:1; #09:1; #15:1; #23:1; #25:1; #34:1; #36:1; #45:1; #46:1,"$431,900 - $564,500",Important notes
3-room,Blk 136A,Malay,#02:2; #04:2; #05:1; #07:1; #09:1; #10:2; #14:2; #15:1; #16:1; #17:2; #21:1; #23:1; #24:1; #27:1; #31:1; #32:1; #33:1; #34:1; #36:1; #37:1; #38:2; #39:2; #40:2; #41:1; #43:1; #44:1; #45:1,"$431,900 - $564,500",Important notes
3-room,Blk 137A,Malay,#03:1; #04:2; #05:1; #06:1; #07:1; #08:2; #09:1; #10:1; #12:1; #13:1; #14:1; #15:1; #16:2; #19:1; #21:1; #24:1; #25:1; #26:1; #27:1; #29:1; #31:1; #38:1; #43:1; #44:1; #46:1,"$431,900 - $564,500",Important notes
4-room,Blk 132A,Chinese,#02:1; #03:1; #04:1; #05:2; #06:1; #08:2; #09:1; #18:1; #20:1; #21:1; #22:2; #23:1; #24:2; #26:2; #27:2; #32:1; #40:1; #42:1,"$640,900 - $843,000",Important notes
4-room,Blk 134A,Chinese,#02:5; #03:4; #04:4; #05:4; #06:1; #07:1; #08:2; #13:1; #16:1; #17:1; #19:2; #20:1; #24:3; #25:1; #27:1; #29:1; #35:1; #37:1; #38:3,"$640,900 - $843,000",Important notes
4-room,Blk 135A,Chinese,#02:6; #03:5; #04:5; #06:1; #09:1; #12:2; #14:1; #19:1; #22:1; #24:1; #25:1; #26:1; #27:1; #31:1; #32:1; #33:1; #39:1; #42:2; #45:2; #46:1; #47:1,"$640,900 - $843,000",Important notes
4-room,Blk 136A,Chinese,#02:4; #03:6; #04:6; #05:4; #06:3; #07:1; #08:2; #09:1; #10:1; #12:1; #14:1; #16:1; #19:1; #22:1; #25:2; #26:1; #27:1; #28:1; #31:2; #34:2; #36:1; #38:1; #40:1; #42:2; #43:1; #44:2; #45:2,"$640,900 - $843,000",Important notes
4-room,Blk 137A,Chinese,#02:6; #03:6; #04:6; #05:4; #06:2; #07:2; #08:1; #09:2; #10:1; #12:2; #13:1; #14:1; #15:1; #16:2; #17:1; #19:1; #20:2; #21:3; #24:1; #26:1; #29:1; #31:1; #33:1; #40:1; #48:1,"$640,900 - $843,000",Important notes
4-room,Blk 132A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:2; #06:1; #08:2; #09:1; #18:1; #20:1; #21:1; #22:2; #23:1; #24:2; #26:2; #27:2; #32:1; #40:1; #42:1,"$640,900 - $843,000",Important notes
