project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 377A, Blk 378A",#04:1; #05:1; #07:1; #08:1,4,"$80,700 - $253,900"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 377A, Blk 378A",#04:1; #05:1; #07:1; #08:1,4,"$80,700 - $253,900"
Important notes,2-room Flexi,Malay,"Blk 377A, Blk 378A",#04:1; #05:1; #07:1; #08:1,4,"$80,700 - $253,900"
Important notes,3-room,Chinese,"Blk 379B, Blk 379C",#05:1; #06:1,2,"$344,600 - $345,300"
Important notes,3-room,Indian/ Other Races,"Blk 379B, Blk 379C",#05:1; #06:1,2,"$344,600 - $345,300"
Important notes,3-room,Malay,"Blk 379B, Blk 379C",#05:1; #06:1,2,"$344,600 - $345,300"
Important notes,3Gen,Chinese,Blk 380C,#08:1,1,
Important notes,3Gen,Indian/ Other Races,Blk 380C,#08:1,1,
Important notes,3Gen,Malay,Blk 380C,#08:1,1,
Important notes,5-room,Chinese,"Blk 376A, Blk 379A, Blk 380B, Blk 380C",#02:1; #03:1; #08:1; #10:1,4,"$575,900 - $617,500"
Important notes,5-room,Indian/ Other Races,"Blk 376A, Blk 379A, Blk 380B, Blk 380C",#02:1; #03:1; #08:1; #10:1,4,"$575,900 - $617,500"
Important notes,5-room,Malay,"Blk 376A, Blk 379A, Blk 380B, Blk 380C",#02:1; #03:1; #08:1; #10:1,4,"$575,900 - $617,500"
