flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 377A,Chinese,#05:1; #07:1,"$80,700 - $253,900",Important notes
2-room Flexi,Blk 378A,Chinese,#04:1; #08:1,"$80,700 - $253,900",Important notes
2-room Flexi,Blk 377A,Indian/ Other Races,#05:1; #07:1,"$80,700 - $253,900",Important notes
2-room Flexi,Blk 378A,Indian/ Other Races,#04:1; #08:1,"$80,700 - $253,900",Important notes
2-room Flexi,Blk 377A,Malay,#05:1; #07:1,"$80,700 - $253,900",Important notes
2-room Flexi,Blk 378A,Malay,#04:1; #08:1,"$80,700 - $253,900",Important notes
3-room,Blk 379B,Chinese,#06:1,"$344,600 - $345,300",Important notes
3-room,Blk 379C,Chinese,#05:1,"$344,600 - $345,300",Important notes
3-room,Blk 379B,Indian/ Other Races,#06:1,"$344,600 - $345,300",Important notes
3-room,Blk 379C,Indian/ Other Races,#05:1,"$344,600 - $345,300",Important notes
3-room,Blk 379B,Malay,#06:1,"$344,600 - $345,300",Important notes
3-room,Blk 379C,Malay,#05:1,"$344,600 - $345,300",Important notes
3Gen,Blk 380C,Chinese,#08:1,,Important notes
3Gen,Blk 380C,Indian/ Other Races,#08:1,,Important notes
3Gen,Blk 380C,Malay,#08:1,,Important notes
5-room,Blk 376A,Chinese,#10:1,"$575,900 - $617,500",Important notes
5-room,Blk 379A,Chinese,#02:1,"$575,900 - $617,500",Important notes
5-room,Blk 380B,Chinese,#03:1,"$575,900 - $617,500",Important notes
5-room,Blk 380C,Chinese,#08:1,"$575,900 - $617,500",Important notes
5-room,Blk 376A,Indian/ Other Races,#10:1,"$575,900 - $617,500",Important notes
5-room,Blk 379A,Indian/ Other Races,#02:1,"$575,900 - $617,500",Important notes
5-room,Blk 380B,Indian/ Other Races,#03:1,"$575,900 - $617,500",Important notes
5-room,Blk 380C,Indian/ Other Races,#08:1,"$575,900 - $617,500",Important notes
5-room,Blk 376A,Malay,#10:1,"$575,900 - $617,500",Important notes
5-room,Blk 379A,Malay,#02:1,"$575,900 - $617,500",Important notes
5-room,Blk 380B,Malay,#03:1,"$575,900 - $617,500",Important notes
5-room,Blk 380C,Malay,#08:1,"$575,900 - $617,500",Important notes
