flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 731A,Chinese,#20:1,"$132,600 - $388,700",Important notes
2-room Flexi,Blk 731A,Indian/ Other Races,#20:1,"$132,600 - $388,700",Important notes
2-room Flexi,Blk 732A,Indian/ Other Races,#11:1,"$132,600 - $388,700",Important notes
2-room Flexi,Blk 731A,Malay,#20:1,"$132,600 - $388,700",Important notes
2-room Flexi,Blk 732A,Malay,#11:1,"$132,600 - $388,700",Important notes
3Gen,Blk 732B,Chinese,#02:1; #03:1,"$1,001,200 - $1,020,000",Important notes
3Gen,Blk 732B,Indian/ Other Races,#02:1; #03:1,"$1,001,200 - $1,020,000",Important notes
3Gen,Blk 732B,Malay,#02:1; #03:1,"$1,001,200 - $1,020,000",Important notes
4-room,Blk 731C,Chinese,#04:1,"$612,100 - $757,400",Important notes
4-room,Blk 731C,Indian/ Other Races,#04:1,"$612,100 - $757,400",Important notes
4-room,Blk 731C,Malay,#04:1,"$612,100 - $757,400",Important notes
