project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,3-room,Chinese,Blk 815A,#15:1,1,"$178,000 - $467,100"
Important notes,3-room,Indian/ Other Races,Blk 815A,#15:1,1,"$178,000 - $467,100"
Important notes,4-room,Chinese,"Blk 813A, Blk 814A, Blk 814B, Blk 815A, Blk 815B, Blk 816A",#02:1; #05:2; #06:1; #07:1; #10:1; #11:2; #12:1; #14:2,11,"$527,200 - $586,600"
Important notes,4-room,Indian/ Other Races,"Blk 813A, Blk 814A, Blk 814B, Blk 815A, Blk 815B, Blk 816A",#02:1; #05:2; #06:1; #07:1; #10:1; #11:2; #12:1; #14:2,11,"$527,200 - $586,600"
Important notes,4-room,Malay,"Blk 814B, Blk 815A, Blk 815B",#02:1; #05:2; #06:1; #11:1; #12:1; #14:1,7,"$527,200 - $586,600"
Important notes,5-room,Chinese,"Blk 814A, Blk 814B",#09:1; #11:1; #12:1; #15:1,4,"$777,200 - $792,200"
Important notes,5-room,Indian/ Other Races,"Blk 814A, Blk 814B",#09:1; #11:1; #12:1; #15:1,4,"$777,200 - $792,200"
Important notes,5-room,Malay,"Blk 814A, Blk 814B",#09:1; #11:1; #12:1; #15:1,4,"$777,200 - $792,200"
Important notes,Community Care Apartment,Chinese,Blk 816B,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1,14,"$61,300 - $112,000"
Important notes,Community Care Apartment,Indian/ Other Races,Blk 816B,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1,14,"$61,300 - $112,000"
Important notes,Community Care Apartment,Malay,Blk 816B,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1,14,"$61,300 - $112,000"
