flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 815A,Chinese,#15:1,"$178,000 - $467,100",Important notes
3-room,Blk 815A,Indian/ Other Races,#15:1,"$178,000 - $467,100",Important notes
4-room,Blk 813A,Chinese,#10:1,"$527,200 - $586,600",Important notes
4-room,Blk 814A,Chinese,#07:1; #14:1,"$527,200 - $586,600",Important notes
4-room,Blk 814B,Chinese,#14:1,"$527,200 - $586,600",Important notes
4-room,Blk 815A,Chinese,#02:1; #05:1; #11:1; #12:1,"$527,200 - $586,600",Important notes
4-room,Blk 815B,Chinese,#05:1; #06:1,"$527,200 - $586,600",Important notes
4-room,Blk 816A,Chinese,#11:1,"$527,200 - $586,600",Important notes
4-room,Blk 813A,Indian/ Other Races,#10:1,"$527,200 - $586,600",Important notes
4-room,Blk 814A,Indian/ Other Races,#07:1; #14:1,"$527,200 - $586,600",Important notes
4-room,Blk 814B,Indian/ Other Races,#14:1,"$527,200 - $586,600",Important notes
4-room,Blk 815A,Indian/ Other Races,#02:1; #05:1; #11:1; #12:1,"$527,200 - $586,600",Important notes
4-room,Blk 815B,Indian/ Other Races,#05:1; #06:1,"$527,200 - $586,600",Important notes
4-room,Blk 816A,Indian/ Other Races,#11:1,"$527,200 - $586,600",Important notes
4-room,Blk 814B,Malay,#14:1,"$527,200 - $586,600",Important notes
4-room,Blk 815A,Malay,#02:1; #05:1; #11:1; #12:1,"$527,200 - $586,600",Important notes
4-room,Blk 815B,Malay,#05:1; #06:1,"$527,200 - $586,600",Important notes
5-room,Blk 814A,Chinese,#11:1; #12:1; #15:1,"$777,200 - $792,200",Important notes
5-room,Blk 814B,Chinese,#09:1,"$777,200 - $792,200",Important notes
5-room,Blk 814A,Indian/ Other Races,#11:1; #12:1; #15:1,"$777,200 - $792,200",Important notes
5-room,Blk 814B,Indian/ Other Races,#09:1,"$777,200 - $792,200",Important notes
5-room,Blk 814A,Malay,#11:1; #12:1; #15:1,"$777,200 - $792,200",Important notes
5-room,Blk 814B,Malay,#09:1,"$777,200 - $792,200",Important notes
Community Care Apartment,Blk 816B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1,"$61,300 - $112,000",Important notes
Community Care Apartment,Blk 816B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1,"$61,300 - $112,000",Important notes
Community Care Apartment,Blk 816B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1,"$61,300 - $112,000",Important notes
