project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 972B, Blk 972C, Blk 974C",#03:1; #06:1; #09:1; #13:1,4,"$56,200 - $194,700"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 972B, Blk 972C, Blk 974C",#03:1; #06:1; #09:1; #13:1,4,"$56,200 - $194,700"
Important notes,2-room Flexi,Malay,"Blk 972B, Blk 972C, Blk 974C",#03:1; #06:1; #09:1; #13:1,4,"$56,200 - $194,700"
Important notes,3-room,Chinese,Blk 972C,#11:1,1,"$218,000 - $351,700"
Important notes,3-room,Indian/ Other Races,Blk 972C,#11:1,1,"$218,000 - $351,700"
Important notes,3-room,Malay,Blk 972C,#11:1,1,"$218,000 - $351,700"
Important notes,4-room,Chinese,"Blk 972B, Blk 973B, Blk 973C, Blk 974A, Blk 974B, Blk 974D",#02:1; #03:2; #05:2; #06:2; #07:1; #09:2,10,"$357,100 - $394,300"
Important notes,4-room,Indian/ Other Races,"Blk 972B, Blk 973B, Blk 973C, Blk 974A, Blk 974B, Blk 974D",#02:1; #03:2; #05:2; #06:2; #07:1; #09:2,10,"$357,100 - $394,300"
Important notes,4-room,Malay,"Blk 972B, Blk 973B, Blk 973C, Blk 974A, Blk 974B, Blk 974D",#02:1; #03:2; #05:2; #06:2; #07:1; #09:2,10,"$357,100 - $394,300"
Important notes,5-room,Chinese,"Blk 972A, Blk 973A, Blk 974A",#03:1; #04:1; #06:1; #07:1,4,"$503,900 - $549,200"
Important notes,5-room,Indian/ Other Races,"Blk 972A, Blk 973A, Blk 974A",#03:1; #04:1; #06:1; #07:1,4,"$503,900 - $549,200"
Important notes,5-room,Malay,"Blk 972A, Blk 973A, Blk 974A",#03:1; #04:1; #06:1; #07:1,4,"$503,900 - $549,200"
