flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 972B,Chinese,#03:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 972C,Chinese,#13:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 974C,Chinese,#06:1; #09:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 972B,Indian/ Other Races,#03:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 972C,Indian/ Other Races,#13:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 974C,Indian/ Other Races,#06:1; #09:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 972B,Malay,#03:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 972C,Malay,#13:1,"$56,200 - $194,700",Important notes
2-room Flexi,Blk 974C,Malay,#06:1; #09:1,"$56,200 - $194,700",Important notes
3-room,Blk 972C,Chinese,#11:1,"$218,000 - $351,700",Important notes
3-room,Blk 972C,Indian/ Other Races,#11:1,"$218,000 - $351,700",Important notes
3-room,Blk 972C,Malay,#11:1,"$218,000 - $351,700",Important notes
4-room,Blk 972B,Chinese,#06:1,"$357,100 - $394,300",Important notes
4-room,Blk 973B,Chinese,#03:1; #05:1,"$357,100 - $394,300",Important notes
4-room,Blk 973C,Chinese,#06:1; #07:1; #09:1,"$357,100 - $394,300",Important notes
4-room,Blk 974A,Chinese,#02:1; #09:1,"$357,100 - $394,300",Important notes
4-room,Blk 974B,Chinese,#03:1,"$357,100 - $394,300",Important notes
4-room,Blk 974D,Chinese,#05:1,"$357,100 - $394,300",Important notes
4-room,Blk 972B,Indian/ Other Races,#06:1,"$357,100 - $394,300",Important notes
4-room,Blk 973B,Indian/ Other Races,#03:1; #05:1,"$357,100 - $394,300",Important notes
4-room,Blk 973C,Indian/ Other Races,#06:1; #07:1; #09:1,"$357,100 - $394,300",Important notes
4-room,Blk 974A,Indian/ Other Races,#02:1; #09:1,"$357,100 - $394,300",Important notes
4-room,Blk 974B,Indian/ Other Races,#03:1,"$357,100 - $394,300",Important notes
4-room,Blk 974D,Indian/ Other Races,#05:1,"$357,100 - $394,300",Important notes
4-room,Blk 972B,Malay,#06:1,"$357,100 - $394,300",Important notes
4-room,Blk 973B,Malay,#03:1; #05:1,"$357,100 - $394,300",Important notes
4-room,Blk 973C,Malay,#06:1; #07:1; #09:1,"$357,100 - $394,300",Important notes
4-room,Blk 974A,Malay,#02:1; #09:1,"$357,100 - $394,300",Important notes
4-room,Blk 974B,Malay,#03:1,"$357,100 - $394,300",Important notes
4-room,Blk 974D,Malay,#05:1,"$357,100 - $394,300",Important notes
5-room,Blk 972A,Chinese,#07:1,"$503,900 - $549,200",Important notes
5-room,Blk 973A,Chinese,#03:1; #06:1,"$503,900 - $549,200",Important notes
5-room,Blk 974A,Chinese,#04:1,"$503,900 - $549,200",Important notes
5-room,Blk 972A,Indian/ Other Races,#07:1,"$503,900 - $549,200",Important notes
5-room,Blk 973A,Indian/ Other Races,#03:1; #06:1,"$503,900 - $549,200",Important notes
5-room,Blk 974A,Indian/ Other Races,#04:1,"$503,900 - $549,200",Important notes
5-room,Blk 972A,Malay,#07:1,"$503,900 - $549,200",Important notes
5-room,Blk 973A,Malay,#03:1; #06:1,"$503,900 - $549,200",Important notes
5-room,Blk 974A,Malay,#04:1,"$503,900 - $549,200",Important notes
