project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 589B,#04:2; #07:2; #09:2; #11:1; #15:1; #16:1,9,"$74,100 - $302,800"
Important notes,2-room Flexi,Indian/ Other Races,Blk 589B,#04:2; #07:2; #09:2; #11:1; #15:1; #16:1,9,"$74,100 - $302,800"
Important notes,2-room Flexi,Malay,Blk 589B,#04:2; #07:2; #09:2; #11:1; #15:1; #16:1,9,"$74,100 - $302,800"
Important notes,3-room,Chinese,"Blk 588C, Blk 589B, Blk 590C",#05:1; #08:1; #09:2; #10:1; #12:1; #14:1,7,"$459,800 - $477,900"
Important notes,3-room,Indian/ Other Races,"Blk 588C, Blk 589B, Blk 590C",#05:1; #08:1; #09:2; #10:1; #12:1; #14:1,7,"$459,800 - $477,900"
Important notes,3-room,Malay,"Blk 588C, Blk 589B, Blk 590C",#05:1; #08:1; #09:2; #10:1; #12:1; #14:1,7,"$459,800 - $477,900"
Important notes,4-room,Chinese,"Blk 588C, Blk 589A, Blk 589C",#04:2; #07:1; #10:1; #13:1,5,"$585,300 - $621,500"
Important notes,4-room,Indian/ Other Races,"Blk 588C, Blk 589A, Blk 589C",#04:2; #07:1; #10:1; #13:1,5,"$585,300 - $621,500"
Important notes,4-room,Malay,"Blk 588C, Blk 589A, Blk 589C",#04:2; #07:1; #10:1; #13:1,5,"$585,300 - $621,500"
Important notes,5-room,Chinese,"Blk 587A, Blk 588A, Blk 588C, Blk 589A, Blk 589C",#06:2; #10:2; #14:1; #15:2,7,"$741,600 - $784,800"
Important notes,5-room,Indian/ Other Races,"Blk 587A, Blk 588A, Blk 588C, Blk 589A, Blk 589C",#06:2; #10:2; #14:1; #15:2,7,"$741,600 - $784,800"
Important notes,5-room,Malay,"Blk 587A, Blk 588A, Blk 588C, Blk 589A, Blk 589C",#06:2; #10:2; #14:1; #15:2,7,"$741,600 - $784,800"
