flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 19A,Chinese,#02:2; #03:3; #04:3; #05:1; #06:2; #07:2; #08:1; #09:2; #11:1; #12:1; #13:2; #14:1; #16:1; #17:1; #18:1; #19:1,"$456,800 - $536,000",Important notes
3-room,Blk 19B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #14:1,"$456,800 - $536,000",Important notes
3-room,Blk 19A,Indian/ Other Races,#02:2; #03:3; #04:3; #05:1; #06:2; #07:2; #08:1; #09:2; #11:1; #12:1; #13:2; #14:1; #16:1; #17:1; #18:1; #19:1,"$456,800 - $536,000",Important notes
3-room,Blk 19B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #14:1,"$456,800 - $536,000",Important notes
3-room,Blk 19A,Malay,#02:2; #03:3; #04:3; #05:1; #06:2; #07:2; #08:1; #09:2; #11:1; #12:1; #13:2; #14:1; #16:1; #17:1; #18:1; #19:1,"$456,800 - $536,000",Important notes
3-room,Blk 19B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #14:1,"$456,800 - $536,000",Important notes
4-room,Blk 19A,Chinese,#02:4; #03:2; #11:1; #16:1; #19:1; #22:1; #24:1,"$636,500 - $773,500",Important notes
4-room,Blk 19B,Chinese,#02:5; #03:4; #04:1; #06:2; #08:1; #12:1; #13:1; #15:3; #18:1; #19:1; #20:1; #21:1,"$636,500 - $773,500",Important notes
4-room,Blk 19C,Chinese,#02:3; #03:5; #04:1; #06:1; #10:1; #14:1; #15:2; #19:1; #21:1; #22:1; #24:2,"$636,500 - $773,500",Important notes
4-room,Blk 19A,Indian/ Other Races,#02:4; #03:2; #11:1; #16:1; #19:1; #22:1; #24:1,"$636,500 - $773,500",Important notes
4-room,Blk 19B,Indian/ Other Races,#02:5; #03:4; #04:1; #06:2; #08:1; #12:1; #13:1; #15:3; #18:1; #19:1; #20:1; #21:1,"$636,500 - $773,500",Important notes
4-room,Blk 19C,Indian/ Other Races,#02:3; #03:5; #04:1; #06:1; #10:1; #14:1; #15:2; #19:1; #21:1; #22:1; #24:2,"$636,500 - $773,500",Important notes
4-room,Blk 19A,Malay,#02:4; #03:2; #11:1; #16:1; #19:1; #22:1; #24:1,"$636,500 - $773,500",Important notes
4-room,Blk 19B,Malay,#02:5; #03:4; #04:1; #06:2; #08:1; #12:1; #13:1; #15:3; #18:1; #19:1; #20:1; #21:1,"$636,500 - $773,500",Important notes
4-room,Blk 19C,Malay,#02:3; #03:5; #04:1; #06:1; #10:1; #14:1; #15:2; #19:1; #21:1; #22:1; #24:2,"$636,500 - $773,500",Important notes
