flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 485C,Chinese,#21:1,"$80,100 - $234,700",Important notes
2-room Flexi,Blk 485C,Indian/ Other Races,#21:1,"$80,100 - $234,700",Important notes
2-room Flexi,Blk 485C,Malay,#21:1,"$80,100 - $234,700",Important notes
4-room,Blk 484A,Chinese,#16:1,"$439,800 - $444,000",Important notes
4-room,Blk 485A,Chinese,#23:1,"$439,800 - $444,000",Important notes
4-room,Blk 484A,Indian/ Other Races,#16:1,"$439,800 - $444,000",Important notes
4-room,Blk 485A,Indian/ Other Races,#23:1,"$439,800 - $444,000",Important notes
4-room,Blk 484A,Malay,#16:1,"$439,800 - $444,000",Important notes
4-room,Blk 485A,Malay,#23:1,"$439,800 - $444,000",Important notes
5-room,Blk 485A,Chinese,#15:1,"$411,000 - $636,700",Important notes
5-room,Blk 485A,Indian/ Other Races,#15:1,"$411,000 - $636,700",Important notes
5-room,Blk 485A,Malay,#15:1,"$411,000 - $636,700",Important notes
