project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 419B, Blk 419C",#04:1; #09:1,2,"$63,500 - $229,500"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 419B, Blk 419C",#04:1; #09:1,2,"$63,500 - $229,500"
Important notes,2-room Flexi,Malay,"Blk 419B, Blk 419C",#04:1; #09:1,2,"$63,500 - $229,500"
Important notes,3-room,Chinese,"Blk 419A, Blk 419D",#19:1; #23:1,2,"$396,000 - $401,400"
Important notes,3-room,Indian/ Other Races,"Blk 419A, Blk 419D",#19:1; #23:1,2,"$396,000 - $401,400"
Important notes,3-room,Malay,"Blk 419A, Blk 419D",#19:1; #23:1,2,"$396,000 - $401,400"
Important notes,4-room,Chinese,Blk 419C,#02:1,1,"$294,000 - $444,000"
Important notes,4-room,Indian/ Other Races,Blk 419C,#02:1,1,"$294,000 - $444,000"
Important notes,4-room,Malay,Blk 419C,#02:1,1,"$294,000 - $444,000"
Important notes,5-room,Chinese,Blk 419A,#11:1,1,"$411,000 - $636,700"
Important notes,5-room,Indian/ Other Races,Blk 419A,#11:1,1,"$411,000 - $636,700"
Important notes,5-room,Malay,Blk 419A,#11:1,1,"$411,000 - $636,700"
