flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 419B,Chinese,#04:1,"$63,500 - $229,500",Important notes
2-room Flexi,Blk 419C,Chinese,#09:1,"$63,500 - $229,500",Important notes
2-room Flexi,Blk 419B,Indian/ Other Races,#04:1,"$63,500 - $229,500",Important notes
2-room Flexi,Blk 419C,Indian/ Other Races,#09:1,"$63,500 - $229,500",Important notes
2-room Flexi,Blk 419B,Malay,#04:1,"$63,500 - $229,500",Important notes
2-room Flexi,Blk 419C,Malay,#09:1,"$63,500 - $229,500",Important notes
3-room,Blk 419A,Chinese,#19:1,"$396,000 - $401,400",Important notes
3-room,Blk 419D,Chinese,#23:1,"$396,000 - $401,400",Important notes
3-room,Blk 419A,Indian/ Other Races,#19:1,"$396,000 - $401,400",Important notes
3-room,Blk 419D,Indian/ Other Races,#23:1,"$396,000 - $401,400",Important notes
3-room,Blk 419A,Malay,#19:1,"$396,000 - $401,400",Important notes
3-room,Blk 419D,Malay,#23:1,"$396,000 - $401,400",Important notes
4-room,Blk 419C,Chinese,#02:1,"$294,000 - $444,000",Important notes
4-room,Blk 419C,Indian/ Other Races,#02:1,"$294,000 - $444,000",Important notes
4-room,Blk 419C,Malay,#02:1,"$294,000 - $444,000",Important notes
5-room,Blk 419A,Chinese,#11:1,"$411,000 - $636,700",Important notes
5-room,Blk 419A,Indian/ Other Races,#11:1,"$411,000 - $636,700",Important notes
5-room,Blk 419A,Malay,#11:1,"$411,000 - $636,700",Important notes
