project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 465A, Blk 465B",#02:1; #17:1,2,"$75,900 - $227,100"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 465A, Blk 465B",#02:1; #17:1,2,"$75,900 - $227,100"
Important notes,2-room Flexi,Malay,"Blk 465A, Blk 465B",#02:1; #17:1,2,"$75,900 - $227,100"
Important notes,3-room,Chinese,Blk 465A,#06:1,1,"$353,000 - $401,400"
Important notes,3-room,Indian/ Other Races,Blk 465A,#06:1,1,"$353,000 - $401,400"
Important notes,3-room,Malay,Blk 465A,#06:1,1,"$353,000 - $401,400"
Important notes,3Gen,Chinese,Blk 466A,#07:1,1,
Important notes,3Gen,Indian/ Other Races,Blk 466A,#07:1,1,
Important notes,3Gen,Malay,Blk 466A,#07:1,1,
Important notes,5-room,Chinese,Blk 466B,#12:1,1,"$411,000 - $636,700"
Important notes,5-room,Indian/ Other Races,Blk 466B,#12:1,1,"$411,000 - $636,700"
Important notes,5-room,Malay,Blk 466B,#12:1,1,"$411,000 - $636,700"
