flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 465A,Chinese,#17:1,"$75,900 - $227,100",Important notes
2-room Flexi,Blk 465B,Chinese,#02:1,"$75,900 - $227,100",Important notes
2-room Flexi,Blk 465A,Indian/ Other Races,#17:1,"$75,900 - $227,100",Important notes
2-room Flexi,Blk 465B,Indian/ Other Races,#02:1,"$75,900 - $227,100",Important notes
2-room Flexi,Blk 465A,Malay,#17:1,"$75,900 - $227,100",Important notes
2-room Flexi,Blk 465B,Malay,#02:1,"$75,900 - $227,100",Important notes
3-room,Blk 465A,Chinese,#06:1,"$353,000 - $401,400",Important notes
3-room,Blk 465A,Indian/ Other Races,#06:1,"$353,000 - $401,400",Important notes
3-room,Blk 465A,Malay,#06:1,"$353,000 - $401,400",Important notes
3Gen,Blk 466A,Chinese,#07:1,,Important notes
3Gen,Blk 466A,Indian/ Other Races,#07:1,,Important notes
3Gen,Blk 466A,Malay,#07:1,,Important notes
5-room,Blk 466B,Chinese,#12:1,"$411,000 - $636,700",Important notes
5-room,Blk 466B,Indian/ Other Races,#12:1,"$411,000 - $636,700",Important notes
5-room,Blk 466B,Malay,#12:1,"$411,000 - $636,700",Important notes
