project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 209A, Blk 210A, Blk 212A",#04:1; #07:1; #14:1,3,"$58,600 - $245,300"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 209A, Blk 210A, Blk 212A",#04:1; #07:1; #14:1,3,"$58,600 - $245,300"
Important notes,2-room Flexi,Malay,"Blk 209A, Blk 210A, Blk 212A",#04:1; #07:1; #14:1,3,"$58,600 - $245,300"
Important notes,3-room,Chinese,Blk 212A,#07:1,1,"$337,900 - $391,100"
Important notes,3-room,Indian/ Other Races,Blk 212A,#07:1,1,"$337,900 - $391,100"
Important notes,3-room,Malay,Blk 212A,#07:1,1,"$337,900 - $391,100"
Important notes,4-room,Chinese,"Blk 210B, Blk 213C, Blk 217A",#03:1; #05:1; #08:1; #10:1,4,"$434,700 - $485,200"
Important notes,4-room,Indian/ Other Races,"Blk 210B, Blk 213C, Blk 217A",#03:1; #05:1; #08:1; #10:1,4,"$434,700 - $485,200"
Important notes,4-room,Malay,"Blk 210B, Blk 213C, Blk 217A",#03:1; #05:1; #08:1; #10:1,4,"$434,700 - $485,200"
Important notes,5-room,Chinese,"Blk 211B, Blk 212C, Blk 212D, Blk 216B, Blk 217A, Blk 217B",#05:1; #09:1; #10:4,6,"$629,900 - $656,700"
Important notes,5-room,Indian/ Other Races,"Blk 211B, Blk 212C, Blk 212D, Blk 216B, Blk 217A, Blk 217B",#05:1; #09:1; #10:4,6,"$629,900 - $656,700"
Important notes,5-room,Malay,"Blk 211B, Blk 212C, Blk 212D, Blk 216B, Blk 217A, Blk 217B",#05:1; #09:1; #10:4,6,"$629,900 - $656,700"
