flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 209A,Chinese,#07:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 210A,Chinese,#14:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 212A,Chinese,#04:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 209A,Indian/ Other Races,#07:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 210A,Indian/ Other Races,#14:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 212A,Indian/ Other Races,#04:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 209A,Malay,#07:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 210A,Malay,#14:1,"$58,600 - $245,300",Important notes
2-room Flexi,Blk 212A,Malay,#04:1,"$58,600 - $245,300",Important notes
3-room,Blk 212A,Chinese,#07:1,"$337,900 - $391,100",Important notes
3-room,Blk 212A,Indian/ Other Races,#07:1,"$337,900 - $391,100",Important notes
3-room,Blk 212A,Malay,#07:1,"$337,900 - $391,100",Important notes
4-room,Blk 210B,Chinese,#05:1,"$434,700 - $485,200",Important notes
4-room,Blk 213C,Chinese,#08:1,"$434,700 - $485,200",Important notes
4-room,Blk 217A,Chinese,#03:1; #10:1,"$434,700 - $485,200",Important notes
4-room,Blk 210B,Indian/ Other Races,#05:1,"$434,700 - $485,200",Important notes
4-room,Blk 213C,Indian/ Other Races,#08:1,"$434,700 - $485,200",Important notes
4-room,Blk 217A,Indian/ Other Races,#03:1; #10:1,"$434,700 - $485,200",Important notes
4-room,Blk 210B,Malay,#05:1,"$434,700 - $485,200",Important notes
4-room,Blk 213C,Malay,#08:1,"$434,700 - $485,200",Important notes
4-room,Blk 217A,Malay,#03:1; #10:1,"$434,700 - $485,200",Important notes
5-room,Blk 211B,Chinese,#05:1,"$629,900 - $656,700",Important notes
5-room,Blk 212C,Chinese,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 212D,Chinese,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 216B,Chinese,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 217A,Chinese,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 217B,Chinese,#09:1,"$629,900 - $656,700",Important notes
5-room,Blk 211B,Indian/ Other Races,#05:1,"$629,900 - $656,700",Important notes
5-room,Blk 212C,Indian/ Other Races,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 212D,Indian/ Other Races,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 216B,Indian/ Other Races,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 217A,Indian/ Other Races,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 217B,Indian/ Other Races,#09:1,"$629,900 - $656,700",Important notes
5-room,Blk 211B,Malay,#05:1,"$629,900 - $656,700",Important notes
5-room,Blk 212C,Malay,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 212D,Malay,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 216B,Malay,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 217A,Malay,#10:1,"$629,900 - $656,700",Important notes
5-room,Blk 217B,Malay,#09:1,"$629,900 - $656,700",Important notes
