flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 48A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #12:1; #21:1; #23:1; #30:1; #31:1,"$458,600 - $562,900",Important notes
3-room,Blk 48B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #10:1; #11:1; #13:1; #14:1; #15:1; #17:1; #20:1; #21:1; #23:1; #24:1; #28:1; #29:1,"$458,600 - $562,900",Important notes
3-room,Blk 49A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #11:1; #26:1; #27:1; #28:1; #37:1,"$458,600 - $562,900",Important notes
3-room,Blk 49B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #17:1; #18:1; #19:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #32:1,"$458,600 - $562,900",Important notes
3-room,Blk 48A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #12:1; #21:1; #23:1; #30:1; #31:1,"$458,600 - $562,900",Important notes
3-room,Blk 48B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #10:1; #11:1; #13:1; #14:1; #15:1; #17:1; #20:1; #21:1; #23:1; #24:1; #28:1; #29:1,"$458,600 - $562,900",Important notes
3-room,Blk 49A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #11:1; #26:1; #27:1; #28:1; #37:1,"$458,600 - $562,900",Important notes
3-room,Blk 49B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #17:1; #18:1; #19:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #32:1,"$458,600 - $562,900",Important notes
3-room,Blk 48A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #12:1; #21:1; #23:1; #30:1; #31:1,"$458,600 - $562,900",Important notes
3-room,Blk 48B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #10:1; #11:1; #13:1; #14:1; #15:1; #17:1; #20:1; #21:1; #23:1; #24:1; #28:1; #29:1,"$458,600 - $562,900",Important notes
3-room,Blk 49A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #11:1; #26:1; #27:1; #28:1; #37:1,"$458,600 - $562,900",Important notes
3-room,Blk 49B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #17:1; #18:1; #19:1; #21:1; #22:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #32:1,"$458,600 - $562,900",Important notes
4-room,Blk 48A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #11:1; #12:1; #15:1; #16:1; #21:1; #24:1; #25:1; #31:1,"$625,000 - $810,500",Important notes
4-room,Blk 48B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #26:1; #28:1; #31:1,"$625,000 - $810,500",Important notes
4-room,Blk 49A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #08:1; #09:1; #10:1; #12:1; #20:1; #22:1; #23:1; #25:1; #27:1; #29:1; #31:1; #32:1; #33:1; #35:1; #36:1; #38:1; #39:1; #40:1,"$625,000 - $810,500",Important notes
4-room,Blk 49B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #10:1; #12:1; #14:1; #15:1; #16:1; #21:1; #22:1; #23:1; #24:1; #26:1; #28:1; #29:1; #30:1; #32:1; #33:1; #34:1; #36:1; #39:1; #40:1,"$625,000 - $810,500",Important notes
4-room,Blk 48A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #11:1; #12:1; #15:1; #16:1; #21:1; #24:1; #25:1; #31:1,"$625,000 - $810,500",Important notes
4-room,Blk 48B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #26:1; #28:1; #31:1,"$625,000 - $810,500",Important notes
4-room,Blk 49A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #08:1; #09:1; #10:1; #12:1; #20:1; #22:1; #23:1; #25:1; #27:1; #29:1; #31:1; #32:1; #33:1; #35:1; #36:1; #38:1; #39:1; #40:1,"$625,000 - $810,500",Important notes
4-room,Blk 49B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #10:1; #12:1; #14:1; #15:1; #16:1; #21:1; #22:1; #23:1; #24:1; #26:1; #28:1; #29:1; #30:1; #32:1; #33:1; #34:1; #36:1; #39:1; #40:1,"$625,000 - $810,500",Important notes
4-room,Blk 48A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #11:1; #12:1; #15:1; #16:1; #21:1; #24:1; #25:1; #31:1,"$625,000 - $810,500",Important notes
4-room,Blk 48B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #26:1; #28:1; #31:1,"$625,000 - $810,500",Important notes
4-room,Blk 49A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #08:1; #09:1; #10:1; #12:1; #20:1; #22:1; #23:1; #25:1; #27:1; #29:1; #31:1; #32:1; #33:1; #35:1; #36:1; #38:1; #39:1; #40:1,"$625,000 - $810,500",Important notes
4-room,Blk 49B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #10:1; #12:1; #14:1; #15:1; #16:1; #21:1; #22:1; #23:1; #24:1; #26:1; #28:1; #29:1; #30:1; #32:1; #33:1; #34:1; #36:1; #39:1; #40:1,"$625,000 - $810,500",Important notes
