flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 50A,Chinese,#02:1; #03:1; #04:1; #12:1,"$82,700 - $364,400",Important notes
2-room Flexi,Blk 50A,Indian/ Other Races,#02:1; #03:1; #04:1; #12:1,"$82,700 - $364,400",Important notes
2-room Flexi,Blk 50A,Malay,#02:1; #03:1; #04:1; #12:1,"$82,700 - $364,400",Important notes
3-room,Blk 50A,Chinese,#02:1; #03:1; #04:1; #05:1; #07:1; #08:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #17:1; #18:1; #21:1,"$458,700 - $584,400",Important notes
3-room,Blk 50B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #21:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #34:1; #35:1; #38:1; #39:1,"$458,700 - $584,400",Important notes
3-room,Blk 51A,Chinese,#02:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #13:1; #14:1; #17:1; #20:1; #23:1; #24:1; #25:1; #32:1; #40:1,"$458,700 - $584,400",Important notes
3-room,Blk 52A,Chinese,#03:1; #04:1; #05:1; #06:1; #07:1; #13:1; #14:1; #40:1,"$458,700 - $584,400",Important notes
3-room,Blk 50A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #07:1; #08:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #17:1; #18:1; #21:1,"$458,700 - $584,400",Important notes
3-room,Blk 50B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #21:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #34:1; #35:1; #38:1; #39:1,"$458,700 - $584,400",Important notes
3-room,Blk 51A,Indian/ Other Races,#02:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #13:1; #14:1; #17:1; #20:1; #23:1; #24:1; #25:1; #32:1; #40:1,"$458,700 - $584,400",Important notes
3-room,Blk 52A,Indian/ Other Races,#03:1; #04:1; #05:1; #06:1; #07:1; #13:1; #14:1; #40:1,"$458,700 - $584,400",Important notes
3-room,Blk 50A,Malay,#02:1; #03:1; #04:1; #05:1; #07:1; #08:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #17:1; #18:1; #21:1,"$458,700 - $584,400",Important notes
3-room,Blk 50B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #21:1; #23:1; #24:1; #25:1; #26:1; #27:1; #28:1; #29:1; #30:1; #31:1; #32:1; #34:1; #35:1; #38:1; #39:1,"$458,700 - $584,400",Important notes
3-room,Blk 51A,Malay,#02:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #13:1; #14:1; #17:1; #20:1; #23:1; #24:1; #25:1; #32:1; #40:1,"$458,700 - $584,400",Important notes
3-room,Blk 52A,Malay,#03:1; #04:1; #05:1; #06:1; #07:1; #13:1; #14:1; #40:1,"$458,700 - $584,400",Important notes
4-room,Blk 50A,Chinese,#02:1; #03:1; #04:1; #05:1; #08:1; #12:1; #15:1; #16:1; #17:1,"$634,300 - $814,800",Important notes
4-room,Blk 50B,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #12:1; #13:1; #19:1; #26:1; #35:1; #37:1; #38:1,"$634,300 - $814,800",Important notes
4-room,Blk 51A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #16:1; #21:1; #22:1; #23:1; #28:1; #30:1; #33:1; #34:1,"$634,300 - $814,800",Important notes
4-room,Blk 52A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #12:1; #15:1; #17:1; #18:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #28:1; #30:1; #31:1; #35:1; #39:1,"$634,300 - $814,800",Important notes
4-room,Blk 50A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #08:1; #12:1; #15:1; #16:1; #17:1,"$634,300 - $814,800",Important notes
4-room,Blk 50B,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #12:1; #13:1; #19:1; #26:1; #35:1; #37:1; #38:1,"$634,300 - $814,800",Important notes
4-room,Blk 51A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #16:1; #21:1; #22:1; #23:1; #28:1; #30:1; #33:1; #34:1,"$634,300 - $814,800",Important notes
4-room,Blk 52A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #12:1; #15:1; #17:1; #18:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #28:1; #30:1; #31:1; #35:1; #39:1,"$634,300 - $814,800",Important notes
4-room,Blk 50A,Malay,#02:1; #03:1; #04:1; #05:1; #08:1; #12:1; #15:1; #16:1; #17:1,"$634,300 - $814,800",Important notes
4-room,Blk 50B,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #12:1; #13:1; #19:1; #26:1; #35:1; #37:1; #38:1,"$634,300 - $814,800",Important notes
4-room,Blk 51A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #16:1; #21:1; #22:1; #23:1; #28:1; #30:1; #33:1; #34:1,"$634,300 - $814,800",Important notes
4-room,Blk 52A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #07:1; #08:1; #09:1; #12:1; #15:1; #17:1; #18:1; #20:1; #21:1; #22:1; #23:1; #24:1; #25:1; #28:1; #30:1; #31:1; #35:1; #39:1,"$634,300 - $814,800",Important notes
