project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,Blk 483A,#15:1,1,"$69,100 - $200,400"
Important notes,2-room Flexi,Indian/ Other Races,Blk 483A,#15:1,1,"$69,100 - $200,400"
Important notes,2-room Flexi,Malay,Blk 483A,#15:1,1,"$69,100 - $200,400"
Important notes,3-room,Chinese,Blk 483A,#07:1,1,"$218,000 - $351,700"
Important notes,3-room,Indian/ Other Races,Blk 483A,#07:1,1,"$218,000 - $351,700"
Important notes,3-room,Malay,Blk 483A,#07:1,1,"$218,000 - $351,700"
Important notes,4-room,Chinese,"Blk 482A, Blk 483B",#06:1; #09:1; #13:1,3,"$390,200 - $421,500"
Important notes,4-room,Indian/ Other Races,"Blk 482A, Blk 483B",#06:1; #09:1; #13:1,3,"$390,200 - $421,500"
Important notes,4-room,Malay,"Blk 482A, Blk 483B",#06:1; #09:1; #13:1,3,"$390,200 - $421,500"
Important notes,5-room,Chinese,Blk 481C,#08:1,1,"$471,900 - $570,600"
Important notes,5-room,Indian/ Other Races,Blk 481C,#08:1,1,"$471,900 - $570,600"
Important notes,5-room,Malay,Blk 481C,#08:1,1,"$471,900 - $570,600"
