flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 483A,Chinese,#15:1,"$69,100 - $200,400",Important notes
2-room Flexi,Blk 483A,Indian/ Other Races,#15:1,"$69,100 - $200,400",Important notes
2-room Flexi,Blk 483A,Malay,#15:1,"$69,100 - $200,400",Important notes
3-room,Blk 483A,Chinese,#07:1,"$218,000 - $351,700",Important notes
3-room,Blk 483A,Indian/ Other Races,#07:1,"$218,000 - $351,700",Important notes
3-room,Blk 483A,Malay,#07:1,"$218,000 - $351,700",Important notes
4-room,Blk 482A,Chinese,#06:1; #13:1,"$390,200 - $421,500",Important notes
4-room,Blk 483B,Chinese,#09:1,"$390,200 - $421,500",Important notes
4-room,Blk 482A,Indian/ Other Races,#06:1; #13:1,"$390,200 - $421,500",Important notes
4-room,Blk 483B,Indian/ Other Races,#09:1,"$390,200 - $421,500",Important notes
4-room,Blk 482A,Malay,#06:1; #13:1,"$390,200 - $421,500",Important notes
4-room,Blk 483B,Malay,#09:1,"$390,200 - $421,500",Important notes
5-room,Blk 481C,Chinese,#08:1,"$471,900 - $570,600",Important notes
5-room,Blk 481C,Indian/ Other Races,#08:1,"$471,900 - $570,600",Important notes
5-room,Blk 481C,Malay,#08:1,"$471,900 - $570,600",Important notes
