flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 178A,Chinese,#06:1; #07:1; #08:1; #10:1; #12:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 178B,Chinese,#05:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 179A,Chinese,#02:1; #05:1; #09:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 178A,Indian/ Other Races,#06:1; #07:1; #08:1; #10:1; #12:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 178B,Indian/ Other Races,#05:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 179A,Indian/ Other Races,#02:1; #05:1; #09:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 178A,Malay,#06:1; #07:1; #08:1; #10:1; #12:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 178B,Malay,#05:1,"$59,200 - $232,500",Important notes
2-room Flexi,Blk 179A,Malay,#02:1; #05:1; #09:1,"$59,200 - $232,500",Important notes
4-room,Blk 178C,Chinese,#04:1,"$459,000 - $487,000",Important notes
4-room,Blk 179B,Chinese,#03:1,"$459,000 - $487,000",Important notes
4-room,Blk 179C,Chinese,#07:1,"$459,000 - $487,000",Important notes
4-room,Blk 178C,Indian/ Other Races,#04:1,"$459,000 - $487,000",Important notes
4-room,Blk 179B,Indian/ Other Races,#03:1,"$459,000 - $487,000",Important notes
4-room,Blk 179C,Indian/ Other Races,#07:1,"$459,000 - $487,000",Important notes
4-room,Blk 178C,Malay,#04:1,"$459,000 - $487,000",Important notes
4-room,Blk 179B,Malay,#03:1,"$459,000 - $487,000",Important notes
4-room,Blk 179C,Malay,#07:1,"$459,000 - $487,000",Important notes
