project,flat_type,ethnicity,blocks,floor_summary,total_units,price_range
Important notes,2-room Flexi,Chinese,"Blk 402A, Blk 402B, Blk 404A",#05:1; #06:2; #07:1,4,"$54,600 - $217,000"
Important notes,2-room Flexi,Indian/ Other Races,"Blk 402A, Blk 402B, Blk 404A",#05:1; #06:2; #07:1,4,"$54,600 - $217,000"
Important notes,2-room Flexi,Malay,"Blk 402A, Blk 402B, Blk 404A",#05:1; #06:2; #07:1,4,"$54,600 - $217,000"
Important notes,3-room,Chinese,Blk 406A,#05:1,1,"$163,000 - $343,100"
Important notes,4-room,Chinese,Blk 404B,#10:1; #14:1,2,"$423,900 - $431,500"
Important notes,4-room,Indian/ Other Races,Blk 404B,#10:1; #14:1,2,"$423,900 - $431,500"
Important notes,4-room,Malay,Blk 404B,#10:1; #14:1,2,"$423,900 - $431,500"
Important notes,5-room,Chinese,"Blk 404B, Blk 406A, Blk 406B",#14:3,3,"$573,800 - $579,300"
Important notes,5-room,Indian/ Other Races,"Blk 404B, Blk 406B",#14:2,2,"$573,800 - $579,300"
Important notes,5-room,Malay,"Blk 404B, Blk 406A, Blk 406B",#14:3,3,"$573,800 - $579,300"
