flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 402A,Chinese,#07:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 402B,Chinese,#06:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 404A,Chinese,#05:1; #06:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 402A,Indian/ Other Races,#07:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 402B,Indian/ Other Races,#06:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 404A,Indian/ Other Races,#05:1; #06:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 402A,Malay,#07:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 402B,Malay,#06:1,"$54,600 - $217,000",Important notes
2-room Flexi,Blk 404A,Malay,#05:1; #06:1,"$54,600 - $217,000",Important notes
3-room,Blk 406A,Chinese,#05:1,"$163,000 - $343,100",Important notes
4-room,Blk 404B,Chinese,#10:1; #14:1,"$423,900 - $431,500",Important notes
4-room,Blk 404B,Indian/ Other Races,#10:1; #14:1,"$423,900 - $431,500",Important notes
4-room,Blk 404B,Malay,#10:1; #14:1,"$423,900 - $431,500",Important notes
5-room,Blk 404B,Chinese,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 406A,Chinese,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 406B,Chinese,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 404B,Indian/ Other Races,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 406B,Indian/ Other Races,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 404B,Malay,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 406A,Malay,#14:1,"$573,800 - $579,300",Important notes
5-room,Blk 406B,Malay,#14:1,"$573,800 - $579,300",Important notes
