flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 7A,Chinese,#05:1; #06:1; #08:1; #12:1; #14:1; #16:2; #25:1,"$521,400 - $580,500",Important notes
3-room,Blk 7A,Indian/ Other Races,#05:1; #06:1; #08:1; #12:1; #14:1; #16:2; #25:1,"$521,400 - $580,500",Important notes
3-room,Blk 7A,Malay,#05:1; #06:1; #08:1; #12:1; #14:1; #16:2; #25:1,"$521,400 - $580,500",Important notes
4-room,Blk 7A,Chinese,#02:1; #05:2; #06:1; #19:1; #25:1,"$720,400 - $861,400",Important notes
4-room,Blk 7B,Chinese,#02:3; #03:3; #04:3; #05:2; #06:1; #08:1; #13:1; #15:1; #17:1; #19:1; #22:2; #25:1; #27:1,"$720,400 - $861,400",Important notes
4-room,Blk 7C,Chinese,#02:1; #03:1; #06:2; #11:1; #14:1; #23:1; #25:1; #27:2,"$720,400 - $861,400",Important notes
4-room,Blk 7A,Indian/ Other Races,#02:1; #05:2; #06:1; #19:1; #25:1,"$720,400 - $861,400",Important notes
4-room,Blk 7B,Indian/ Other Races,#02:3; #03:3; #04:3; #05:2; #06:1; #08:1; #13:1; #15:1; #17:1; #19:1; #22:2; #25:1; #27:1,"$720,400 - $861,400",Important notes
4-room,Blk 7C,Indian/ Other Races,#02:1; #03:1; #06:2; #11:1; #14:1; #23:1; #25:1; #27:2,"$720,400 - $861,400",Important notes
4-room,Blk 7A,Malay,#02:1; #05:2; #06:1; #19:1; #25:1,"$720,400 - $861,400",Important notes
4-room,Blk 7B,Malay,#02:3; #03:3; #04:3; #05:2; #06:1; #08:1; #13:1; #15:1; #17:1; #19:1; #22:2; #25:1; #27:1,"$720,400 - $861,400",Important notes
4-room,Blk 7C,Malay,#02:1; #03:1; #06:2; #11:1; #14:1; #23:1; #25:1; #27:2,"$720,400 - $861,400",Important notes
