flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 36A,Chinese,#14:1; #18:1; #19:1; #20:1,"$410,800 - $498,400",Important notes
3-room,Blk 37A,Chinese,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #10:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #24:1,"$410,800 - $498,400",Important notes
3-room,Blk 37B,Chinese,#03:1; #04:1; #05:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #20:1; #21:1,"$410,800 - $498,400",Important notes
3-room,Blk 36A,Indian/ Other Races,#14:1; #18:1; #19:1; #20:1,"$410,800 - $498,400",Important notes
3-room,Blk 37A,Indian/ Other Races,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #10:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #24:1,"$410,800 - $498,400",Important notes
3-room,Blk 37B,Indian/ Other Races,#03:1; #04:1; #05:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #20:1; #21:1,"$410,800 - $498,400",Important notes
3-room,Blk 36A,Malay,#14:1; #18:1; #19:1; #20:1,"$410,800 - $498,400",Important notes
3-room,Blk 37A,Malay,#02:1; #03:1; #04:1; #05:1; #06:1; #09:1; #10:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #19:1; #20:1; #21:1; #22:1; #24:1,"$410,800 - $498,400",Important notes
3-room,Blk 37B,Malay,#03:1; #04:1; #05:1; #07:1; #08:1; #09:1; #10:1; #11:1; #12:1; #13:1; #14:1; #15:1; #16:1; #17:1; #20:1; #21:1,"$410,800 - $498,400",Important notes
4-room,Blk 36A,Chinese,#02:1; #03:1,"$586,800 - $634,400",Important notes
4-room,Blk 37A,Chinese,#02:1; #03:1,"$586,800 - $634,400",Important notes
4-room,Blk 37B,Chinese,#02:1; #03:1; #04:1,"$586,800 - $634,400",Important notes
4-room,Blk 36A,Indian/ Other Races,#02:1; #03:1,"$586,800 - $634,400",Important notes
4-room,Blk 37A,Indian/ Other Races,#02:1; #03:1,"$586,800 - $634,400",Important notes
4-room,Blk 37B,Indian/ Other Races,#02:1; #03:1; #04:1,"$586,800 - $634,400",Important notes
4-room,Blk 36A,Malay,#02:1; #03:1,"$586,800 - $634,400",Important notes
4-room,Blk 37A,Malay,#02:1; #03:1,"$586,800 - $634,400",Important notes
4-room,Blk 37B,Malay,#02:1; #03:1; #04:1,"$586,800 - $634,400",Important notes
