flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 1A,Chinese,#06:1,"$107,600 - $192,700",Important notes
2-room Flexi,Blk 1A,Indian/ Other Races,#06:1,"$107,600 - $192,700",Important notes
2-room Flexi,Blk 1A,Malay,#06:1,"$107,600 - $192,700",Important notes
3-room,Blk 1A,Chinese,#20:1,"$608,600 - $656,000",Important notes
3-room,Blk 1B,Chinese,#15:1; #29:1,"$608,600 - $656,000",Important notes
3-room,Blk 2A,Chinese,#13:1,"$608,600 - $656,000",Important notes
3-room,Blk 1A,Indian/ Other Races,#20:1,"$608,600 - $656,000",Important notes
3-room,Blk 1B,Indian/ Other Races,#15:1; #29:1,"$608,600 - $656,000",Important notes
3-room,Blk 2A,Indian/ Other Races,#13:1,"$608,600 - $656,000",Important notes
3-room,Blk 2B,Indian/ Other Races,#05:1,"$608,600 - $656,000",Important notes
3-room,Blk 1A,Malay,#20:1,"$608,600 - $656,000",Important notes
3-room,Blk 1B,Malay,#15:1; #29:1,"$608,600 - $656,000",Important notes
3-room,Blk 2A,Malay,#13:1,"$608,600 - $656,000",Important notes
3-room,Blk 2B,Malay,#05:1,"$608,600 - $656,000",Important notes
4-room,Blk 1B,Chinese,#15:1,"$878,800 - $895,800",Important notes
4-room,Blk 2B,Chinese,#11:1,"$878,800 - $895,800",Important notes
4-room,Blk 1B,Indian/ Other Races,#15:1,"$878,800 - $895,800",Important notes
4-room,Blk 2B,Indian/ Other Races,#11:1,"$878,800 - $895,800",Important notes
4-room,Blk 1B,Malay,#15:1,"$878,800 - $895,800",Important notes
4-room,Blk 2B,Malay,#11:1,"$878,800 - $895,800",Important notes
