flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 270A,Chinese,#08:1; #18:1; #23:1,"$92,100 - $198,600",Important notes
2-room Flexi,Blk 270A,Indian/ Other Races,#08:1; #18:1; #23:1,"$92,100 - $198,600",Important notes
2-room Flexi,Blk 270A,Malay,#08:1; #18:1; #23:1,"$92,100 - $198,600",Important notes
4-room,Blk 268A,Chinese,#07:1,"$699,200 - $723,100",Important notes
4-room,Blk 269A,Chinese,#18:1,"$699,200 - $723,100",Important notes
4-room,Blk 270A,Chinese,#16:1; #20:1,"$699,200 - $723,100",Important notes
4-room,Blk 268A,Indian/ Other Races,#07:1,"$699,200 - $723,100",Important notes
4-room,Blk 269A,Indian/ Other Races,#18:1,"$699,200 - $723,100",Important notes
4-room,Blk 270A,Indian/ Other Races,#16:1; #20:1,"$699,200 - $723,100",Important notes
4-room,Blk 268A,Malay,#07:1,"$699,200 - $723,100",Important notes
4-room,Blk 269A,Malay,#18:1,"$699,200 - $723,100",Important notes
4-room,Blk 270A,Malay,#16:1; #20:1,"$699,200 - $723,100",Important notes
