flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 344A,Chinese,#06:1,"$54,500 - $219,500",Important notes
2-room Flexi,Blk 344C,Chinese,#03:1; #04:1,"$54,500 - $219,500",Important notes
2-room Flexi,Blk 344A,Indian/ Other Races,#06:1,"$54,500 - $219,500",Important notes
2-room Flexi,Blk 344C,Indian/ Other Races,#03:1; #04:1,"$54,500 - $219,500",Important notes
2-room Flexi,Blk 344A,Malay,#06:1,"$54,500 - $219,500",Important notes
2-room Flexi,Blk 344C,Malay,#03:1; #04:1,"$54,500 - $219,500",Important notes
3-room,Blk 341C,Chinese,#08:1,"$163,000 - $343,100",Important notes
3-room,Blk 341C,Indian/ Other Races,#08:1,"$163,000 - $343,100",Important notes
3-room,Blk 341C,Malay,#08:1,"$163,000 - $343,100",Important notes
4-room,Blk 341A,Chinese,#17:1,"$480,600 - $492,600",Important notes
4-room,Blk 341B,Chinese,#16:1,"$480,600 - $492,600",Important notes
4-room,Blk 341A,Indian/ Other Races,#17:1,"$480,600 - $492,600",Important notes
4-room,Blk 341B,Indian/ Other Races,#16:1,"$480,600 - $492,600",Important notes
4-room,Blk 341A,Malay,#17:1,"$480,600 - $492,600",Important notes
4-room,Blk 341B,Malay,#16:1,"$480,600 - $492,600",Important notes
