flat_type,block,ethnicity,floor_data,price_range,project
2-room Flexi,Blk 570,Chinese,#03:1; #10:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 571,Chinese,#02:1; #11:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 572,Chinese,#06:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 574,Chinese,#02:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 572,Indian/ Other Races,#06:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 574,Indian/ Other Races,#02:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 570,Malay,#03:1; #10:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 571,Malay,#02:1; #11:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 572,Malay,#06:1,"$48,000 - $126,500",Important notes
2-room Flexi,Blk 574,Malay,#02:1,"$48,000 - $126,500",Important notes
