flat_type,block,ethnicity,floor_data,price_range,project
3-room,Blk 191B,Chinese,#13:1,"$331,600 - $397,200",Important notes
3-room,Blk 191B,Indian/ Other Races,#13:1,"$331,600 - $397,200",Important notes
4-room,Blk 191B,Chinese,#08:1,"$269,000 - $519,400",Important notes
4-room,Blk 191B,Indian/ Other Races,#08:1,"$269,000 - $519,400",Important notes
5-room,Blk 190A,Chinese,#31:1,"$636,100 - $650,200",Important notes
5-room,Blk 192A,Chinese,#24:1,"$636,100 - $650,200",Important notes
5-room,Blk 190A,Indian/ Other Races,#31:1,"$636,100 - $650,200",Important notes
5-room,Blk 192A,Indian/ Other Races,#24:1,"$636,100 - $650,200",Important notes
5-room,Blk 190A,Malay,#31:1,"$636,100 - $650,200",Important notes
5-room,Blk 192A,Malay,#24:1,"$636,100 - $650,200",Important notes
